date time;coulombmeter;Raw1;Permitivity1;VWC1;Temp1;Vcc1;Raw2;Permitivity2;VWC2;Temp2;Vcc2;Raw3;Permitivity3;VWC3;Temp3;Vcc3;Raw4;Permitivity4;VWC4;Temp4;Vcc4;Raw5;Permitivity5;VWC5;Temp5;Vcc5;Raw6;Permitivity6;VWC6;Temp6;Vcc6;Raw7;Permitivity7;VWC7;Temp7;Vcc7;Raw8;Permitivity8;VWC8;Temp8;Vcc8;Raw9;Permitivity9;VWC9;Temp9;Vcc9
08.10.2021 00:00:11;99,8;12485;11,44;21,55;13;12,99;13963;6,27;10,94;13,15;12,84;13264;8,29;15,37;12,92;12,65;11430;18;31,95;13,55;12,58;11373;18,3;32,35;13,47;12,58;11556;15,64;28,56;13,49;12,68;10906;22,16;37,08;14,13;12,52;11167;20,59;35,26;14,04;12,63;11077;21,1;35,86;14,02;12,6
08.10.2021 01:00:11;99,8;12483;11,45;21,56;12,98;12,99;13962;6,27;10,95;13,09;12,84;13262;8,29;15,38;12,91;12,65;11430;18;31,95;13,52;12,58;11371;18,31;32,37;13,45;12,58;11555;15,65;28,57;13,47;12,68;10905;22,18;37,09;14,09;12,52;11167;20,59;35,26;14,03;12,63;11077;21,1;35,86;14,02;12,58
08.10.2021 02:00:11;99,8;12483;11,45;21,56;12,95;12,97;13959;6,28;10,97;13,05;12,81;13261;8,3;15,39;12,88;12,63;11429;18,01;31,96;13,51;12,55;11371;18,31;32,37;13,41;12,55;11554;15,65;28,58;13,45;12,65;10905;22,18;37,09;14,09;12,5;11166;20,6;35,28;14,02;12,63;11077;21,1;35,86;14,02;12,58
08.10.2021 03:00:11;99,8;12483;11,45;21,56;12,88;12,97;13958;6,28;10,97;12,99;12,81;13259;8,3;15,4;12,82;12,6;11429;18,01;31,96;13,45;12,55;11370;18,32;32,38;13,41;12,52;11554;15,65;28,58;13,42;12,65;10905;22,18;37,09;14,07;12,47;11167;20,59;35,26;13,97;12,6;11077;21,1;35,86;14;12,55
08.10.2021 05:00:11;99,8;12483;11,45;21,56;12,63;12,97;13956;6,28;10,98;12,78;12,81;13257;8,31;15,41;12,6;12,6;11427;18,03;31,98;13,41;12,52;11367;18,35;32,42;13,3;12,52;11552;15,67;28,61;13,35;12,63;10905;22,18;37,09;14,06;12,47;11167;20,59;35,26;13,97;12,6;11076;21,11;35,87;13,98;12,55
08.10.2021 06:00:11;99,8;12484;11,44;21,55;12,52;12,99;13955;6,29;10,99;12,7;12,84;13255;8,31;15,42;12,45;12,65;11426;18,03;31,99;13,32;12,58;11367;18,35;32,42;13,25;12,55;11550;15,69;28,63;13,28;12,68;10905;22,18;37,09;14,07;12,52;11166;20,6;35,28;13,97;12,63;11077;21,1;35,86;13,96;12,6
08.10.2021 07:00:11;99,8;12484;11,44;21,55;12,41;13,04;13954;6,29;10,99;12,53;12,86;13255;8,31;15,42;12,27;12,65;11426;18,03;31,99;13,27;12,6;11366;18,36;32,44;13,21;12,6;11550;15,69;28,63;13,21;12,71;10905;22,18;37,09;14,05;12,52;11166;20,6;35,28;13,98;12,65;11076;21,11;35,87;13,98;12,6
08.10.2021 08:00:11;99,8;12484;11,44;21,55;12,33;13,07;13953;6,29;11;12,46;12,91;13253;8,32;15,44;12,2;12,71;11425;18,04;32;13,18;12,63;11366;18,36;32,44;13,14;12,63;11549;15,69;28,64;13,14;12,73;10904;22,19;37,11;14;12,58;11166;20,6;35,28;13,96;12,71;11076;21,11;35,87;13,93;12,65
08.10.2021 09:00:11;99,8;12483;11,45;21,56;12,38;13,12;13951;6,29;11,01;12,45;12,94;13251;8,33;15,45;12,2;12,73;11425;18,04;32;13,09;12,65;11365;18,37;32,45;13,09;12,65;11549;15,69;28,64;13,05;12,76;10904;22,19;37,11;14,02;12,6;11166;20,6;35,28;13,95;12,71;11076;21,11;35,87;13,96;12,68
08.10.2021 10:00:11;99,8;12482;11,45;21,57;12,51;13,12;13949;6,3;11,02;12,57;12,94;13250;8,33;15,46;12,34;12,73;11424;18,05;32,02;13,07;12,65;11365;18,37;32,45;13,02;12,65;11548;15,7;28,65;12,99;12,76;10904;22,19;37,11;14,02;12,6;11166;20,6;35,28;13,93;12,73;11076;21,11;35,87;13,95;12,68
