date time;coulombmeter;Raw1;Permitivity1;VWC1;Temp1;Vcc1;Raw2;Permitivity2;VWC2;Temp2;Vcc2;Raw3;Permitivity3;VWC3;Temp3;Vcc3;Raw4;Permitivity4;VWC4;Temp4;Vcc4;Raw5;Permitivity5;VWC5;Temp5;Vcc5;Raw6;Permitivity6;VWC6;Temp6;Vcc6;Raw7;Permitivity7;VWC7;Temp7;Vcc7;Raw8;Permitivity8;VWC8;Temp8;Vcc8;Raw9;Permitivity9;VWC9;Temp9;Vcc9
04.01.2022 00:00:03;98,8;11825;14,67;27,06;5,43;12,63;11344;17,61;31,41;5,45;12,47;11406;17,91;31,83;5,43;12,71;11387;18,11;32,1;5,53;12,45;11494;16,14;29,31;5,41;12,71;11747;15,66;28,59;5,43;12,6;12025;13,47;25,1;5,19;12,5;11798;14,59;26,93;5,46;12,47;11936;13,58;25,29;5,25;12,03
04.01.2022 01:00:03;98,8;11824;14,68;27,07;5,43;12,6;11343;17,62;31,43;5,43;12,45;11406;17,91;31,83;5,47;12,68;11388;18,11;32,09;5,55;12,42;11495;16,13;29,3;5,38;12,68;11748;15,65;28,58;5,38;12,58;12026;13,46;25,09;5,2;12,47;11798;14,59;26,93;5,44;12,45;11936;13,58;25,29;5,28;12,03
04.01.2022 02:00:03;98,8;11821;14,7;27,11;5,44;12,6;11342;17,63;31,44;5,41;12,42;11405;17,92;31,84;5,45;12,68;11388;18,11;32,09;5,53;12,42;11496;16,13;29,29;5,41;12,68;11749;15,65;28,57;5,45;12,6;12027;13,45;25,08;5,21;12,47;11799;14,58;26,92;5,49;12,45;11937;13,57;25,28;5,27;12,03
04.01.2022 03:00:03;98,7;11822;14,7;27,1;5,45;12,6;11339;17,65;31,47;5,39;12,42;11403;17,94;31,86;5,43;12,68;11389;18,1;32,08;5,53;12,42;11497;16,12;29,28;5,39;12,68;11749;15,65;28,57;5,41;12,58;12028;13,45;25,07;5,22;12,47;11799;14,58;26,92;5,5;12,45;11938;13,57;25,27;5,27;12,03
04.01.2022 04:00:03;98,7;11816;14,73;27,16;5,37;12,6;11334;17,69;31,52;5,42;12,42;11402;17,94;31,87;5,41;12,68;11389;18,1;32,08;5,51;12,42;11497;16,12;29,28;5,38;12,68;11749;15,65;28,57;5,39;12,58;12029;13,44;25,06;5,21;12,47;11800;14,57;26,91;5,48;12,45;11938;13,57;25,27;5,3;12,03
04.01.2022 05:00:03;98,7;11800;14,84;27,32;5,41;12,6;11320;17,82;31,7;5,38;12,42;11395;18,01;31,96;5,39;12,68;11389;18,1;32,08;5,52;12,42;11499;16,11;29,26;5,38;12,68;11749;15,65;28,57;5,39;12,58;12029;13,44;25,06;5,22;12,45;11800;14,57;26,91;5,48;12,45;11938;13,57;25,27;5,26;12,03
04.01.2022 06:00:03;98,7;11710;15,43;28,24;5,4;12,6;11249;18,44;32,54;5,38;12,42;11364;18,27;32,31;5,38;12,68;11390;18,09;32,07;5,51;12,42;11499;16,11;29,26;5,42;12,68;11749;15,65;28,57;5,38;12,58;12030;13,44;25,05;5,22;12,45;11801;14,57;26,9;5,46;12,45;11940;13,56;25,25;5,3;12,01
04.01.2022 07:00:03;98,7;11484;17,07;30,66;5,41;12,58;11053;20,35;34,97;5,35;12,4;11185;19,96;34,49;5,4;12,65;11390;18,09;32,07;5,51;12,4;11499;16,11;29,26;5,37;12,65;11750;15,64;28,56;5,38;12,58;12034;13,42;25,02;5,23;12,45;11801;14,57;26,9;5,52;12,42;11941;13,55;25,24;5,3;12,01
04.01.2022 08:00:03;98,7;11392;17,82;31,7;5,42;12,63;11012;20,78;35,49;5,36;12,45;11050;21,38;36,19;5,4;12,68;11390;18,09;32,07;5,49;12,42;11498;16,11;29,27;5,38;12,68;11751;15,63;28,55;5,41;12,58;12034;13,42;25,02;5,21;12,47;11803;14,55;26,87;5,48;12,45;11941;13,55;25,24;5,27;12,03
04.01.2022 09:00:03;98,7;11337;18,28;32,32;5,45;12,63;10979;21,14;35,91;5,43;12,45;10966;22,34;37,28;5,4;12,71;11389;18,1;32,08;5,52;12,42;11496;16,13;29,29;5,38;12,71;11753;15,62;28,53;5,34;12,6;12032;13,43;25,03;5,23;12,47;11804;14,54;26,86;5,5;12,45;11941;13,55;25,24;5,28;12,03
