date time;coulombmeter;Raw1;Permitivity1;VWC1;Temp1;Vcc1;Raw2;Permitivity2;VWC2;Temp2;Vcc2;Raw3;Permitivity3;VWC3;Temp3;Vcc3;Raw4;Permitivity4;VWC4;Temp4;Vcc4;Raw5;Permitivity5;VWC5;Temp5;Vcc5;Raw6;Permitivity6;VWC6;Temp6;Vcc6;Raw7;Permitivity7;VWC7;Temp7;Vcc7;Raw8;Permitivity8;VWC8;Temp8;Vcc8;Raw9;Permitivity9;VWC9;Temp9;Vcc9
18.01.2023 01:00:00;86,8;10962;22,01;36,91;2,9;11,56;11086;20;34,54;2,8;11,33;10976;22,23;37,16;2,93;11,51;11124;20,55;35,22;3,03;11,25;11181;18,73;32,93;2,87;11,46;11231;19,94;34,46;2,95;11,41;11724;15,32;28,07;4,21;11,33;11583;16,04;29,16;4,49;11,3;11654;15,34;28,1;4,02;10,94
18.01.2023 02:00:00;86,8;10962;22,01;36,91;2,89;11,56;11088;19,99;34,52;2,78;11,33;10977;22,22;37,14;2,94;11,54;11123;20,56;35,23;2,98;11,25;11181;18,73;32,93;2,82;11,49;11232;19,93;34,45;2,88;11,41;11726;15,31;28,05;4,2;11,33;11584;16,03;29,15;4,47;11,33;11656;15,33;28,08;4;10,94
18.01.2023 03:00:00;86,8;10963;22;36,9;2,88;11,56;11087;19,99;34,53;2,77;11,33;10978;22,21;37,13;2,95;11,54;11124;20,55;35,22;2,97;11,25;11183;18,72;32,9;2,79;11,49;11232;19,93;34,45;2,82;11,41;11728;15,29;28,03;4,15;11,3;11585;16,02;29,13;4,44;11,3;11658;15,31;28,06;3,98;10,94
18.01.2023 04:00:00;86,8;10965;21,98;36,87;2,93;11,56;11088;19,99;34,52;2,8;11,33;10979;22,2;37,12;2,95;11,51;11124;20,55;35,22;2,92;11,25;11183;18,72;32,9;2,76;11,46;11232;19,93;34,45;2,8;11,41;11730;15,28;28,01;4,16;11,3;11587;16,01;29,11;4,43;11,3;11660;15,3;28,04;3,98;10,91
18.01.2023 05:00:00;86,8;10965;21,98;36,87;2,88;11,56;11089;19,98;34,51;2,8;11,33;10980;22,18;37,09;2,92;11,51;11124;20,55;35,22;2,89;11,25;11183;18,72;32,9;2,74;11,49;11235;19,9;34,42;2,79;11,41;11731;15,27;28;4,13;11,3;11587;16,01;29,11;4,39;11,3;11660;15,3;28,04;3,92;10,94
18.01.2023 06:00:00;86,8;10969;21,93;36,82;2,91;11,56;11091;19,96;34,49;2,81;11,33;10981;22,16;37,08;2,94;11,51;11124;20,55;35,22;2,88;11,25;11183;18,72;32,9;2,7;11,46;11236;19,89;34,4;2,74;11,41;11733;15,26;27,98;4,09;11,3;11589;15,99;29,08;4,38;11,3;11662;15,29;28,02;3,94;10,94
18.01.2023 07:00:00;86,8;10969;21,93;36,82;2,92;11,56;11095;19,91;34,43;2,81;11,33;10981;22,16;37,08;2,95;11,54;11124;20,55;35,22;2,8;11,25;11183;18,72;32,9;2,7;11,49;11236;19,89;34,4;2,72;11,41;11734;15,26;27,97;4,07;11,33;11590;15,98;29,07;4,36;11,33;11664;15,27;28;3,88;10,94
18.01.2023 08:00:00;86,8;10970;21,91;36,8;2,91;11,59;11095;19,91;34,43;2,87;11,36;10983;22,14;37,06;2,95;11,56;11125;20,54;35,2;2,81;11,28;11183;18,72;32,9;2,68;11,51;11236;19,89;34,4;2,71;11,43;11736;15,24;27,95;4,05;11,33;11590;15,98;29,07;4,35;11,33;11666;15,26;27,98;3,88;10,97
18.01.2023 09:00:00;86,8;10965;21,98;36,87;2,91;11,64;11098;19,88;34,39;2,83;11,38;10983;22,14;37,06;2,95;11,59;11132;20,47;35,11;2,83;11,33;11183;18,72;32,9;2,63;11,54;11236;19,89;34,4;2,68;11,46;11738;15,23;27,93;4,03;11,38;11592;15,97;29,05;4,3;11,36;11667;15,26;27,97;3,81;10,99
18.01.2023 10:00:00;86,8;10960;22,03;36,93;2,9;11,67;11094;19,92;34,44;2,77;11,43;10985;22,12;37,03;2,97;11,62;11134;20,45;35,09;2,83;11,36;11184;18,71;32,89;2,63;11,56;11236;19,89;34,4;2,7;11,49;11739;15,22;27,92;4;11,41;11593;15,96;29,04;4,32;11,41;11669;15,24;27,94;3,81;11,02
18.01.2023 11:00:00;86,8;10964;21,99;36,89;2,86;11,69;11096;19,9;34,42;2,75;11,46;10986;22,11;37,02;2,91;11,67;11134;20,45;35,09;2,8;11,41;11184;18,71;32,89;2,63;11,62;11236;19,89;34,4;2,64;11,54;11742;15,2;27,88;4,02;11,43;11594;15,95;29,03;4,27;11,43;11671;15,22;27,92;3,82;11,04
18.01.2023 12:00:00;86,8;10965;21,98;36,87;2,91;11,69;11099;19,87;34,38;2,71;11,46;10987;22,1;37,01;2,9;11,67;11134;20,45;35,09;2,84;11,38;11184;18,71;32,89;2,61;11,62;11236;19,89;34,4;2,66;11,54;11744;15,19;27,86;3,98;11,43;11596;15,94;29,01;4,26;11,43;11672;15,22;27,91;3,75;11,04
18.01.2023 13:00:00;86,8;10966;21,97;36,86;2,84;11,67;11100;19,86;34,37;2,7;11,41;10988;22,09;37;2,91;11,62;11135;20,44;35,07;2,84;11,36;11184;18,71;32,89;2,64;11,56;11236;19,89;34,4;2,64;11,49;11746;15,17;27,85;3,96;11,38;11597;15,93;29;4,23;11,41;11674;15,2;27,89;3,75;11,02
18.01.2023 14:00:00;86,8;10968;21,94;36,84;2,84;11,67;11101;19,85;34,36;2,67;11,43;10989;22,08;36,98;2,86;11,64;11135;20,44;35,07;2,8;11,36;11184;18,71;32,89;2,63;11,59;11236;19,89;34,4;2,62;11,51;11747;15,17;27,84;3,95;11,41;11598;15,93;28,99;4,26;11,41;11675;15,2;27,88;3,73;11,02
18.01.2023 15:00:00;86,8;10968;21,94;36,84;2,84;11,62;11103;19,83;34,33;2,68;11,38;10989;22,08;36,98;2,85;11,59;11135;20,44;35,07;2,76;11,3;11184;18,71;32,89;2,6;11,54;11236;19,89;34,4;2,64;11,46;11749;15,15;27,82;3,91;11,36;11600;15,91;28,97;4,22;11,38;11676;15,19;27,87;3,74;10,99
18.01.2023 16:00:00;86,8;10966;21,97;36,86;2,84;11,59;11103;19,83;34,33;2,68;11,36;10989;22,08;36,98;2,84;11,54;11135;20,44;35,07;2,77;11,28;11184;18,71;32,89;2,59;11,49;11236;19,89;34,4;2,63;11,43;11751;15,14;27,8;3,92;11,33;11601;15,91;28,96;4,19;11,33;11679;15,17;27,85;3,7;10,94
18.01.2023 17:00:00;86,8;10976;21,85;36,73;2,85;11,56;11105;19,82;34,31;2,71;11,33;10990;22,06;36,97;2,87;11,54;11135;20,44;35,07;2,78;11,25;11184;18,71;32,89;2,61;11,49;11236;19,89;34,4;2,63;11,41;11753;15,13;27,78;3,91;11,33;11602;15,9;28,95;4,15;11,33;11680;15,17;27,84;3,7;10,94
18.01.2023 18:00:00;86,8;10977;21,84;36,71;2,82;11,54;11105;19,82;34,31;2,66;11,3;10990;22,06;36,97;2,87;11,51;11135;20,44;35,07;2,78;11,23;11183;18,72;32,9;2,59;11,46;11235;19,9;34,42;2,64;11,38;11754;15,12;27,77;3,91;11,3;11604;15,89;28,93;4,18;11,3;11682;15,15;27,82;3,67;10,91
18.01.2023 19:00:00;86,8;10968;21,94;36,84;2,84;11,56;11105;19,82;34,31;2,68;11,33;10991;22,05;36,96;2,84;11,54;11135;20,44;35,07;2,77;11,25;11183;18,72;32,9;2,59;11,49;11235;19,9;34,42;2,64;11,41;11756;15,11;27,75;3,85;11,33;11604;15,89;28,93;4,16;11,33;11683;15,15;27,81;3,67;10,94
18.01.2023 20:00:00;86,8;10963;22;36,9;2,84;11,59;11109;19,77;34,25;2,65;11,36;10990;22,06;36,97;2,84;11,54;11135;20,44;35,07;2,75;11,28;11184;18,71;32,89;2,57;11,49;11235;19,9;34,42;2,63;11,41;11757;15,1;27,74;3,86;11,33;11606;15,87;28,91;4,14;11,33;11685;15,14;27,79;3,63;10,94
18.01.2023 21:00:00;86,8;10965;21,98;36,87;2,84;11,56;11108;19,78;34,27;2,63;11,33;10991;22,05;36,96;2,84;11,54;11135;20,44;35,07;2,77;11,25;11184;18,71;32,89;2,57;11,49;11235;19,9;34,42;2,62;11,41;11759;15,09;27,72;3,83;11,3;11606;15,87;28,91;4,11;11,3;11686;15,13;27,78;3,64;10,94
18.01.2023 22:00:00;86,8;10963;22;36,9;2,78;11,59;11109;19,77;34,25;2,62;11,33;10990;22,06;36,97;2,78;11,54;11135;20,44;35,07;2,77;11,25;11185;18,7;32,88;2,56;11,49;11235;19,9;34,42;2,59;11,41;11760;15,08;27,71;3,8;11,3;11608;15,85;28,88;4,09;11,3;11687;15,12;27,77;3,65;10,94
18.01.2023 23:00:00;86,8;10944;22,22;37,14;2,81;11,56;11109;19,77;34,25;2,63;11,33;10989;22,08;36,98;2,8;11,54;11134;20,45;35,09;2,74;11,25;11185;18,7;32,88;2,56;11,46;11234;19,91;34,43;2,59;11,38;11761;15,07;27,69;3,8;11,3;11609;15,85;28,87;4,09;11,3;11688;15,11;27,75;3,62;10,94
19.01.2023 00:00:00;86,7;10975;21,86;36,74;2,75;11,56;11108;19,78;34,27;2,56;11,33;10989;22,08;36,98;2,79;11,51;11134;20,45;35,09;2,74;11,25;11184;18,71;32,89;2,56;11,46;11234;19,91;34,43;2,58;11,38;11763;15,06;27,67;3,82;11,3;11610;15,84;28,86;4,09;11,3;11690;15,1;27,73;3,61;10,91
19.01.2023 01:00:00;86,7;10974;21,87;36,75;2,76;11,54;11108;19,78;34,27;2,63;11,3;10988;22,09;37;2,81;11,49;11135;20,44;35,07;2,76;11,23;11184;18,71;32,89;2,56;11,43;11233;19,92;34,44;2,62;11,36;11764;15,05;27,66;3,77;11,28;11611;15,83;28,85;4,07;11,28;11691;15,09;27,72;3,62;10,89
19.01.2023 02:00:27;86,7;10973;21,88;36,76;2,77;10,78;11103;19,83;34,33;2,61;10,65;10988;22,09;37;2,8;10,99;11134;20,45;35,09;2,74;10,68;11184;18,71;32,89;2,55;10,97;11233;19,92;34,44;2,6;10,73;11766;15,04;27,64;3,78;10,68;11612;15,83;28,84;4,05;10,63;11692;15,08;27,71;3,57;10,29
19.01.2023 03:00:57;86,7;10972;21,89;36,77;2,79;10,84;11105;19,82;34,31;2,63;10,63;10988;22,09;37;2,77;10,68;11134;20,45;35,09;2,77;10,47;11183;18,72;32,9;2,55;10,71;11232;19,93;34,45;2,59;10,6;11767;15,03;27,63;3,77;10,58;11612;15,83;28,84;4,04;10,81;11692;15,08;27,71;3,6;10,6
19.01.2023 04:00:56;86,7;10972;21,89;36,77;2,8;10,6;11105;19,82;34,31;2,59;10,37;10987;22,1;37,01;2,78;10,55;11134;20,45;35,09;2,74;10,34;11183;18,72;32,9;2,57;10,6;11232;19,93;34,45;2,58;10,68;11768;15,03;27,62;3,73;10,81;11614;15,81;28,82;4,05;10,86;11694;15,07;27,69;3,6;10,39
19.01.2023 05:01:18;86,7;10971;21,9;36,79;2,8;11,15;11103;19,83;34,33;2,58;10,91;10986;22,11;37,02;2,75;11,12;11134;20,45;35,09;2,7;10,86;11183;18,72;32,9;2,53;11,1;11232;19,93;34,45;2,56;11,04;11769;15,02;27,61;3,74;10,94;11614;15,81;28,82;4,02;10,97;11695;15,07;27,68;3,55;10,6
19.01.2023 06:01:18;86,7;10970;21,91;36,8;2,79;11,12;11102;19,84;34,35;2,59;10,89;10987;22,1;37,01;2,77;11,1;11133;20,46;35,1;2,73;10,84;11182;18,73;32,92;2,53;11,07;11231;19,94;34,46;2,58;11,02;11770;15,02;27,6;3,74;10,94;11615;15,81;28,81;4,02;10,97;11695;15,07;27,68;3,56;10,6
19.01.2023 07:01:19;86,7;10970;21,91;36,8;2,78;10,97;11102;19,84;34,35;2,55;10,76;10986;22,11;37,02;2,75;10,94;11133;20,46;35,1;2,71;10,73;11182;18,73;32,92;2,52;10,94;11231;19,94;34,46;2,55;10,89;11771;15,01;27,59;3,77;10,81;11616;15,8;28,8;4,02;10,84;11696;15,06;27,67;3,53;10,47
19.01.2023 08:01:18;86,7;10971;21,9;36,79;2,7;11,1;11102;19,84;34,35;2,52;10,86;10986;22,11;37,02;2,71;11,07;11133;20,46;35,1;2,71;10,81;11182;18,73;32,92;2,51;11,04;11230;19,95;34,47;2,57;10,99;11773;15;27,57;3,7;10,91;11617;15,79;28,79;4;10,94;11697;15,05;27,66;3,52;10,58
19.01.2023 09:00:27;86,7;10969;21,93;36,82;2,7;11,15;11102;19,84;34,35;2,47;10,71;10986;22,11;37,02;2,67;10,81;11133;20,46;35,1;2,7;10,6;11182;18,73;32,92;2,5;10,81;11230;19,95;34,47;2,55;10,81;11773;15;27,57;3,71;10,68;11617;15,79;28,79;3,97;10,76;11699;15,04;27,64;3,53;10,6
19.01.2023 10:00:00;86,7;10970;21,91;36,8;2,64;11,95;11102;19,84;34,35;2,4;11,72;10986;22,11;37,02;2,65;11,93;11133;20,46;35,1;2,69;11,64;11181;18,73;32,93;2,5;11,85;11228;19,98;34,51;2,54;11,77;11774;14,99;27,56;3,73;11,67;11618;15,79;28,78;3,99;11,67;11700;15,03;27,63;3,52;11,28
19.01.2023 11:00:00;86,7;10970;21,91;36,8;2,6;11,85;11102;19,84;34,35;2,31;11,62;10986;22,11;37,02;2,56;11,82;11132;20,47;35,11;2,64;11,51;11180;18,74;32,94;2,49;11,75;11228;19,98;34,51;2,54;11,67;11774;14,99;27,56;3,7;11,56;11618;15,79;28,78;3,95;11,56;11700;15,03;27,63;3,49;11,17
19.01.2023 12:00:00;86,7;10971;21,9;36,79;2,55;11,67;11103;19,83;34,33;2,23;11,43;10986;22,11;37,02;2,51;11,64;11132;20,47;35,11;2,67;11,36;11180;18,74;32,94;2,49;11,59;11228;19,98;34,51;2,5;11,51;11776;14,98;27,54;3,7;11,41;11618;15,79;28,78;3,98;11,41;11701;15,03;27,62;3,49;11,02
19.01.2023 13:00:00;86,7;10969;21,93;36,82;2,52;11,67;11104;19,83;34,32;2,19;11,41;10986;22,11;37,02;2,48;11,62;11133;20,46;35,1;2,65;11,36;11180;18,74;32,94;2,42;11,56;11228;19,98;34,51;2,52;11,49;11778;14,97;27,52;3,67;11,38;11619;15,78;28,77;3,96;11,38;11701;15,03;27,62;3,49;11,02
19.01.2023 14:00:00;86,7;10969;21,93;36,82;2,47;11,59;11102;19,84;34,35;2,13;11,36;10987;22,1;37,01;2,43;11,56;11132;20,47;35,11;2,65;11,28;11181;18,73;32,93;2,42;11,51;11228;19,98;34,51;2,52;11,43;11779;14,96;27,51;3,65;11,33;11619;15,78;28,77;3,95;11,33;11702;15,02;27,61;3,47;10,94
19.01.2023 15:00:00;86,7;10971;21,9;36,79;2,44;11,51;11106;19,8;34,29;2,11;11,28;10987;22,1;37,01;2,39;11,46;11132;20,47;35,11;2,64;11,2;11180;18,74;32,94;2,42;11,41;11228;19,98;34,51;2,5;11,33;11779;14,96;27,51;3,7;11,25;11620;15,77;28,76;3,94;11,25;11703;15,02;27,6;3,45;10,89
19.01.2023 16:01:22;86,7;10972;21,89;36,77;2,39;11,17;11102;19,84;34,35;2,11;10,97;10987;22,1;37,01;2,39;11,17;11132;20,47;35,11;2,62;10,94;11180;18,74;32,94;2,43;11,17;11227;19,99;34,52;2,48;11,12;11780;14,95;27,5;3,63;11,04;11620;15,77;28,76;3,93;11,07;11703;15,02;27,6;3,45;10,71
19.01.2023 17:01:19;86,7;10973;21,88;36,76;2,39;11,2;11103;19,83;34,33;2,04;10,99;10988;22,09;37;2,35;11,2;11131;20,48;35,12;2,59;10,97;11180;18,74;32,94;2,42;11,2;11227;19,99;34,52;2,49;11,12;11782;14,94;27,48;3,63;11,07;11620;15,77;28,76;3,91;11,07;11704;15,01;27,59;3,43;10,71
19.01.2023 18:01:24;86,7;10973;21,88;36,76;2,34;11,15;11104;19,83;34,32;2,04;10,94;10988;22,09;37;2,26;11,15;11131;20,48;35,12;2,59;10,91;11180;18,74;32,94;2,45;11,15;11227;19,99;34,52;2,46;11,1;11782;14,94;27,48;3,62;11,02;11621;15,77;28,75;3,87;11,02;11704;15,01;27,59;3,44;10,68
19.01.2023 19:01:18;86,7;10972;21,89;36,77;2,31;11,1;11108;19,78;34,27;1,97;10,86;10989;22,08;36,98;2,27;11,07;11131;20,48;35,12;2,63;10,84;11180;18,74;32,94;2,41;11,07;11227;19,99;34,52;2,47;11,02;11782;14,94;27,48;3,6;10,94;11621;15,77;28,75;3,9;10,97;11705;15;27,58;3,45;10,58
19.01.2023 20:01:19;86,7;10973;21,88;36,76;2,27;10,99;11109;19,77;34,25;1,91;10,78;10989;22,08;36,98;2,23;10,99;11131;20,48;35,12;2,61;10,76;11179;18,76;32,96;2,39;10,99;11227;19,99;34,52;2,45;10,94;11783;14,93;27,46;3,61;10,86;11621;15,77;28,75;3,88;10,89;11705;15;27,58;3,39;10,52
19.01.2023 21:01:18;86,7;10974;21,87;36,75;2,27;10,97;11109;19,77;34,25;1,88;10,76;10990;22,06;36,97;2,17;10,97;11132;20,47;35,11;2,58;10,73;11179;18,76;32,96;2,39;10,94;11227;19,99;34,52;2,46;10,89;11784;14,92;27,45;3,59;10,84;11622;15,76;28,74;3,87;10,84;11705;15;27,58;3,41;10,47
19.01.2023 22:01:18;86,7;10975;21,86;36,74;2,18;10,99;11111;19,75;34,23;1,88;10,76;10991;22,05;36,96;2,18;10,97;11131;20,48;35,12;2,57;10,73;11179;18,76;32,96;2,38;10,94;11226;19,99;34,53;2,43;10,89;11784;14,92;27,45;3,59;10,84;11622;15,76;28,74;3,84;10,84;11706;14,99;27,56;3,37;10,47
19.01.2023 23:01:18;86,7;10976;21,85;36,73;2,17;11,04;11112;19,74;34,22;1,81;10,84;10991;22,05;36,96;2,1;11,02;11131;20,48;35,12;2,53;10,78;11179;18,76;32,96;2,35;11,02;11226;19,99;34,53;2,4;10,94;11784;14,92;27,45;3,62;10,89;11622;15,76;28,74;3,85;10,89;11706;14,99;27,56;3,41;10,52
20.01.2023 00:01:19;86,7;10977;21,84;36,71;2,13;11,02;11112;19,74;34,22;1,8;10,78;10992;22,04;36,95;2,1;10,99;11131;20,48;35,12;2,51;10,73;11179;18,76;32,96;2,31;10,97;11225;20;34,54;2,36;10,91;11784;14,92;27,45;3,55;10,84;11622;15,76;28,74;3,83;10,86;11707;14,98;27,55;3,35;10,5
20.01.2023 01:01:18;86,7;10977;21,84;36,71;2,1;10,94;11116;19,7;34,17;1,82;10,73;10993;22,03;36,93;2,07;10,94;11131;20,48;35,12;2,5;10,68;11179;18,76;32,96;2,29;10,91;11225;20;34,54;2,34;10,86;11784;14,92;27,45;3,56;10,78;11623;15,75;28,73;3,85;10,81;11708;14,98;27,54;3,38;10,45
20.01.2023 02:01:19;86,7;10977;21,84;36,71;2,07;10,97;11118;19,69;34,15;1,77;10,73;10994;22,02;36,92;2,05;10,94;11130;20,49;35,13;2,44;10,71;11179;18,76;32,96;2,27;10,91;11225;20;34,54;2,3;10,86;11784;14,92;27,45;3,56;10,78;11623;15,75;28,73;3,84;10,81;11708;14,98;27,54;3,33;10,45
20.01.2023 03:01:18;86,7;10979;21,81;36,69;2,03;11,17;11119;19,67;34,13;1,76;10,94;10994;22,02;36,92;2,02;11,15;11131;20,48;35,12;2,43;10,89;11179;18,76;32,96;2,27;11,12;11226;19,99;34,53;2,3;11,04;11784;14,92;27,45;3,52;10,97;11623;15,75;28,73;3,83;10,99;11709;14,97;27,53;3,33;10,63
20.01.2023 04:00:55;86,7;10978;21,82;36,7;1,99;10,6;11120;19,66;34,11;1,73;10,34;10995;22,01;36,91;1,97;10,58;11131;20,48;35,12;2,42;10,39;11179;18,76;32,96;2,21;10,81;11226;19,99;34,53;2,25;10,81;11784;14,92;27,45;3,53;10,78;11623;15,75;28,73;3,81;10,52;11709;14,97;27,53;3,34;10,19
