date time;coulombmeter;Raw1;Permitivity1;VWC1;Temp1;Vcc1;Raw2;Permitivity2;VWC2;Temp2;Vcc2;Raw3;Permitivity3;VWC3;Temp3;Vcc3;Raw4;Permitivity4;VWC4;Temp4;Vcc4;Raw5;Permitivity5;VWC5;Temp5;Vcc5;Raw6;Permitivity6;VWC6;Temp6;Vcc6;Raw7;Permitivity7;VWC7;Temp7;Vcc7;Raw8;Permitivity8;VWC8;Temp8;Vcc8;Raw9;Permitivity9;VWC9;Temp9;Vcc9
26.09.2021 00:00:11;98;13080;8,88;16,6;15,18;12,68;12960;9,22;17,28;15,02;12,65;13808;6,94;12,46;14,88;12,5;11148;20,22;34,81;15,89;12,47;10979;21,76;36,63;15,77;12,5;11193;20,96;35,71;15,76;12,27;10744;25,6;40,62;15,13;12,5;10721;25,82;40,83;15,05;12,47;10565;26,79;41,72;15,05;12,4
26.09.2021 01:00:11;98;13082;8,88;16,59;14,92;12,65;12962;9,21;17,27;14,68;12,63;13810;6,93;12,45;14,57;12,47;11149;20,21;34,8;15,85;12,45;10980;21,75;36,62;15,73;12,47;11193;20,96;35,71;15,7;12,27;10744;25,6;40,62;15,13;12,47;10720;25,85;40,86;15,12;12,45;10564;26,8;41,73;15,12;12,37
26.09.2021 02:00:11;98;13084;8,87;16,58;14,64;12,65;12964;9,2;17,25;14,37;12,65;13812;6,93;12,44;14,23;12,47;11150;20,2;34,79;15,78;12,45;10980;21,75;36,62;15,72;12,47;11194;20,95;35,69;15,68;12,24;10744;25,6;40,62;15,15;12,47;10720;25,85;40,86;15,11;12,45;10564;26,8;41,73;15,14;12,37
26.09.2021 03:00:11;98;13086;8,86;16,56;14,42;12,65;12967;9,19;17,23;14,11;12,63;13813;6,93;12,43;13,98;12,47;11150;20,2;34,79;15,73;12,45;10980;21,75;36,62;15,61;12,47;11194;20,95;35,69;15,62;12,24;10743;25,61;40,63;15,17;12,47;10720;25,85;40,86;15,1;12,45;10564;26,8;41,73;15,12;12,37
26.09.2021 04:00:11;98;13089;8,86;16,54;14,2;12,68;12968;9,19;17,22;13,91;12,65;13814;6,92;12,43;13,78;12,47;11151;20,19;34,78;15,63;12,47;10981;21,74;36,6;15,58;12,47;11195;20,94;35,68;15,55;12,24;10743;25,61;40,63;15,15;12,47;10719;25,87;40,87;15,1;12,45;10564;26,8;41,73;15,15;12,37
26.09.2021 05:00:11;98;13091;8,85;16,52;14,02;12,71;12970;9,18;17,21;13,73;12,65;13815;6,92;12,42;13,62;12,5;11152;20,18;34,77;15,53;12,5;10981;21,74;36,6;15,43;12,5;11194;20,95;35,69;15,46;12,27;10743;25,61;40,63;15,18;12,5;10719;25,87;40,87;15,15;12,47;10563;26,82;41,75;15,14;12,37
26.09.2021 06:00:11;98;13092;8,84;16,52;13,9;12,76;12971;9,18;17,2;13,63;12,71;13816;6,92;12,42;13,46;12,52;11152;20,18;34,77;15,43;12,52;10982;21,73;36,59;15,37;12,52;11195;20,94;35,68;15,38;12,29;10742;25,63;40,65;15,22;12,52;10719;25,87;40,87;15,16;12,5;10563;26,82;41,75;15,18;12,42
26.09.2021 07:00:11;97,9;13093;8,84;16,51;13,8;12,94;12971;9,18;17,2;13,63;12,86;13816;6,92;12,42;13,55;12,65;11154;20,17;34,74;15,38;12,63;10982;21,73;36,59;15,28;12,63;11196;20,93;35,67;15,28;12,37;10742;25,63;40,65;15,19;12,63;10719;25,87;40,87;15,13;12,6;10563;26,82;41,75;15,2;12,5
26.09.2021 08:00:11;97,9;13094;8,84;16,5;13,92;13,04;12968;9,19;17,22;13,89;12,97;13815;6,92;12,42;13,74;12,76;11154;20,17;34,74;15,3;12,73;10983;21,72;36,58;15,2;12,71;11197;20,92;35,66;15,21;12,47;10743;25,61;40,63;15,17;12,68;10719;25,87;40,87;15,17;12,65;10563;26,82;41,75;15,19;12,55
26.09.2021 09:00:11;97,9;13093;8,84;16,51;14,16;13,12;12966;9,19;17,23;14,26;13,04;13813;6,93;12,43;14,19;12,84;11155;20,16;34,73;15,23;12,78;10983;21,72;36,58;15,1;12,78;11197;20,92;35,66;15,16;12,52;10743;25,61;40,63;15,18;12,76;10719;25,87;40,87;15,18;12,71;10563;26,82;41,75;15,16;12,63
26.09.2021 10:00:11;97,9;13093;8,84;16,51;14,56;13,25;12962;9,21;17,27;14,85;13,15;13812;6,93;12,44;14,77;12,97;11155;20,16;34,73;15,16;12,91;10983;21,72;36,58;15,09;12,91;11197;20,92;35,66;15,1;12,65;10743;25,61;40,63;15,19;12,89;10719;25,87;40,87;15,15;12,84;10563;26,82;41,75;15,18;12,73
26.09.2021 11:00:11;97,9;13088;8,86;16,55;15,16;13,28;12957;9,23;17,3;15,78;13,2;13806;6,94;12,47;15,72;12,99;11155;20,16;34,73;15,16;12,97;10984;21,71;36,57;15,04;12,94;11198;20,91;35,65;15,09;12,68;10743;25,61;40,63;15,16;12,91;10719;25,87;40,87;15,15;12,89;10563;26,82;41,75;15,2;12,78
26.09.2021 12:00:11;97,9;13085;8,87;16,57;15,98;13,3;12948;9,26;17,36;16,8;13,2;13800;6,96;12,51;16,82;12,99;11155;20,16;34,73;15,17;12,97;10984;21,71;36,57;15,07;12,97;11198;20,91;35,65;15,05;12,71;10743;25,61;40,63;15,16;12,94;10718;25,88;40,89;15,15;12,91;10564;26,8;41,73;15,17;12,81
26.09.2021 13:00:11;97,9;13082;8,88;16,59;16,68;13,3;12944;9,27;17,39;17,73;13,2;13795;6,97;12,53;17,77;12,99;11154;20,17;34,74;15,23;12,97;10984;21,71;36,57;15,13;12,99;11198;20,91;35,65;15,09;12,73;10743;25,61;40,63;15,17;12,94;10718;25,88;40,89;15,13;12,91;10563;26,82;41,75;15,14;12,81
26.09.2021 14:00:11;97,9;13078;8,89;16,62;17,29;13,3;12939;9,29;17,43;18,39;13,2;13790;6,99;12,56;18,41;12,99;11154;20,17;34,74;15,34;12,97;10983;21,72;36,58;15,24;12,99;11198;20,91;35,65;15,2;12,73;10743;25,61;40,63;15,13;12,94;10719;25,87;40,87;15,13;12,91;10564;26,8;41,73;15,15;12,81
26.09.2021 15:00:11;97,9;13077;8,89;16,62;17,7;13,25;12935;9,31;17,46;18,74;13,15;13788;6,99;12,57;18,8;12,94;11153;20,18;34,76;15,47;12,91;10983;21,72;36,58;15,38;12,91;11197;20,92;35,66;15,29;12,68;10743;25,61;40,63;15,13;12,89;10719;25,87;40,87;15,11;12,86;10564;26,8;41,73;15,15;12,76
