date time;Baterie (%);Napětí baterie (V);Raw1 AVG;Permitivity1 AVG;VWC1 AVG;Temp1 AVG;Vcc1 AVG;Raw2 AVG;Permitivity2 AVG;VWC2 AVG;Temp2 AVG;Vcc2 AVG;Raw3 AVG;Permitivity3 AVG;VWC3 AVG;Temp3 AVG;Vcc3 AVG;Raw4 AVG;Permitivity4 AVG;VWC4 AVG;Temp4 AVG;Vcc4 AVG;Raw5 AVG;Permitivity5 AVG;VWC5 AVG;Temp5 AVG;Vcc5 AVG;Raw6 AVG;Permitivity6 AVG;VWC6 AVG;Temp6 AVG;Vcc6 AVG;Raw7 AVG;Permitivity7 AVG;VWC7 AVG;Temp7 AVG;Vcc7 AVG;Raw8 AVG;Permitivity8 AVG;VWC8 AVG;Temp8 AVG;Vcc8 AVG;Raw9 AVG;Permitivity9 AVG;VWC9 AVG;Temp9 AVG;Vcc9 AVG
13.06.2023 01:00:00;88,8;13,412;13579;7,37;13,4;13,27;12,63;12743;10,02;18,88;13,16;12,68;13121;8,94;16,72;13,09;12,55;13375;7,92;14,58;14,54;12,58;12170;12,59;23,61;14,34;12,55;12264;12,95;24,23;14,38;12,32;11125;20,88;35,61;13,27;12,52;10731;25,68;40,7;13,23;12,5;10641;25,63;40,65;13,3;12,42
13.06.2023 02:00:00;88,8;13,417;13580;7,37;13,39;13,1;12,63;12745;10,02;18,86;12,94;12,68;13124;8,93;16,7;12,9;12,55;13375;7,92;14,58;14,44;12,58;12170;12,59;23,61;14,27;12,55;12265;12,95;24,22;14,31;12,32;11125;20,88;35,61;13,28;12,52;10730;25,7;40,71;13,23;12,5;10641;25,63;40,65;13,34;12,42
13.06.2023 03:00:00;88,8;13,411;13582;7,36;13,38;12,88;12,63;12747;10,01;18,85;12,69;12,68;13126;8,93;16,69;12,65;12,55;13374;7,92;14,59;14,36;12,55;12170;12,59;23,61;14,2;12,55;12265;12,95;24,22;14,21;12,32;11125;20,88;35,61;13,32;12,5;10730;25,7;40,71;13,23;12,5;10641;25,63;40,65;13,32;12,4
13.06.2023 04:00:00;88,8;13,422;13584;7,35;13,37;12,7;12,65;12748;10,01;18,84;12,48;12,68;13128;8,92;16,67;12,43;12,58;13374;7,92;14,59;14,29;12,58;12171;12,58;23,59;14,13;12,55;12266;12,94;24,21;14,15;12,32;11125;20,88;35,61;13,27;12,52;10730;25,7;40,71;13,27;12,52;10640;25,64;40,66;13,34;12,45
13.06.2023 05:00:00;88,8;13,482;13584;7,35;13,37;12,56;12,84;12749;10;18,83;12,38;12,81;13129;8,91;16,66;12,34;12,68;13374;7,92;14,59;14,17;12,68;12172;12,58;23,58;14,02;12,68;12266;12,94;24,21;14,02;12,45;11125;20,88;35,61;13,29;12,65;10731;25,68;40,7;13,25;12,63;10641;25,63;40,65;13,3;12,55
13.06.2023 06:00:00;88,8;13,577;13585;7,35;13,36;12,59;13,04;12749;10;18,83;12,43;12,99;13129;8,91;16,66;12,42;12,86;13373;7,92;14,59;14,07;12,86;12172;12,58;23,58;13,91;12,84;12267;12,94;24,2;13,9;12,6;11126;20,86;35,59;13,26;12,81;10732;25,67;40,69;13,27;12,78;10641;25,63;40,65;13,33;12,68
13.06.2023 07:00:00;88,8;13,662;13588;7,34;13,34;12,65;13,23;12748;10,01;18,84;12,67;13,17;13130;8,91;16,65;12,59;13,02;13378;7,91;14,56;13,97;13,02;12174;12,57;23,57;13,78;12,99;12269;12,92;24,18;13,81;12,73;11132;20,8;35,51;13,29;12,94;10733;25,65;40,67;13,23;12,91;10648;25,51;40,54;13,3;12,81
13.06.2023 08:00:00;88,8;13,709;13592;7,33;13,32;12,81;13,3;12752;9,99;18,8;12,93;13,23;13134;8,9;16,63;12,81;13,07;13388;7,88;14,5;13,86;13,1;12178;12,55;23,53;13,71;13,07;12273;12,9;24,15;13,77;12,78;11144;20,68;35,37;13,28;13,02;10735;25,63;40,65;13,2;12,99;10658;25,38;40,41;13,3;12,89
13.06.2023 09:00:00;88,8;13,749;13597;7,32;13,29;13,01;13,36;12756;9,97;18,78;13,2;13,3;13139;8,88;16,6;13,09;13,15;13399;7,84;14,43;13,8;13,15;12183;12,52;23,49;13,64;13,15;12279;12,87;24,09;13,69;12,86;11161;20,51;35,16;13,25;13,1;10738;25,57;40,59;13,2;13,04;10670;25,2;40,24;13,28;12,97
13.06.2023 10:00:00;88,8;13,767;13603;7,3;13,26;13,25;13,38;12761;9,95;18,74;13,5;13,33;13145;8,86;16,56;13,4;13,17;13410;7,81;14,36;13,77;13,17;12188;12,5;23,44;13,57;13,15;12283;12,85;24,05;13,6;12,89;11181;20,3;34,91;13,27;13,1;10742;25,51;40,54;13,2;13,07;10684;25;40,04;13,26;12,97
13.06.2023 11:00:00;88,8;13,782;13608;7,29;13,23;13,45;13,41;12765;9,94;18,71;13,82;13,36;13156;8,82;16,48;13,69;13,2;13422;7,78;14,28;13,73;13,2;12194;12,47;23,39;13,55;13,17;12288;12,82;24,01;13,58;12,91;11202;20,09;34,65;13,23;13,12;10747;25,45;40,47;13,18;13,1;10698;24,79;39,84;13,23;12,99
13.06.2023 12:00:00;88,8;13,782;13613;7,28;13,2;13,77;13,38;12769;9,92;18,67;14,12;13,36;13161;8,81;16,45;14,05;13,2;13433;7,74;14,21;13,73;13,2;12200;12,44;23,34;13,62;13,17;12294;12,79;23,95;13,59;12,91;11228;19,83;34,33;13,2;13,12;10754;25,33;40,37;13,16;13,1;10712;24,6;39,65;13,21;12,99
13.06.2023 13:00:00;88,8;13,759;13616;7,27;13,18;14,05;13,3;12771;9,91;18,66;14,38;13,25;13166;8,79;16,41;14,34;13,1;13442;7,72;14,16;13,73;13,1;12205;12,41;23,28;13,64;13,1;12296;12,78;23,94;13,66;12,84;11250;19,62;34,07;13,2;13,04;10759;25,27;40,3;13,15;13,02;10722;24,47;39,52;13,2;12,94
13.06.2023 14:00:00;88,8;13,688;13618;7,26;13,17;14,13;13,1;12773;9,91;18,65;14,45;13,07;13168;8,79;16,4;14,42;12,97;13445;7,71;14,14;13,84;12,97;12206;12,4;23,28;13,67;12,97;12296;12,78;23,94;13,7;12,71;11262;19,51;33,93;13,18;12,94;10761;25,24;40,28;13,12;12,91;10728;24,38;39,43;13,17;12,81
13.06.2023 15:00:00;88,8;13,614;13619;7,26;13,16;14,12;12,94;12774;9,9;18,64;14,42;12,97;13170;8,78;16,39;14,38;12,86;13445;7,71;14,14;13,85;12,86;12206;12,4;23,28;13,74;12,86;12296;12,78;23,94;13,78;12,6;11271;19,42;33,81;13,16;12,84;10763;25,21;40,25;13,14;12,81;10730;24,35;39,4;13,16;12,71
13.06.2023 16:00:00;88,8;13,606;13620;7,26;13,15;14,05;12,94;12775;9,9;18,63;14,28;12,97;13172;8,77;16,37;14,27;12,84;13444;7,71;14,15;13,91;12,86;12206;12,4;23,28;13,84;12,84;12295;12,79;23,95;13,85;12,6;11272;19,41;33,8;13,17;12,81;10764;25,2;40,24;13,12;12,78;10731;24,34;39,39;13,16;12,68
13.06.2023 17:00:00;88,8;13,571;13621;7,25;13,15;14;12,89;12776;9,9;18,63;14,2;12,91;13170;8,78;16,39;14,2;12,81;13442;7,72;14,16;14,01;12,81;12206;12,4;23,28;13,93;12,81;12293;12,8;23,96;13,94;12,55;11272;19,41;33,8;13,13;12,78;10766;25,17;40,21;13,1;12,76;10731;24,34;39,39;13,15;12,65
