date time;coulombmeter;Raw1;Permitivity1;VWC1;Temp1;Vcc1;Raw2;Permitivity2;VWC2;Temp2;Vcc2;Raw3;Permitivity3;VWC3;Temp3;Vcc3;Raw4;Permitivity4;VWC4;Temp4;Vcc4;Raw5;Permitivity5;VWC5;Temp5;Vcc5;Raw6;Permitivity6;VWC6;Temp6;Vcc6;Raw7;Permitivity7;VWC7;Temp7;Vcc7;Raw8;Permitivity8;VWC8;Temp8;Vcc8;Raw9;Permitivity9;VWC9;Temp9;Vcc9
08.02.2022 12:00:03;99,9;340282350000000000000000000000000000000;340282350000000000000000000000000000000;340282350000000000000000000000000000000;340282350000000000000000000000000000000;340282350000000000000000000000000000000;340282350000000000000000000000000000000;340282350000000000000000000000000000000;340282350000000000000000000000000000000;340282350000000000000000000000000000000;340282350000000000000000000000000000000;340282350000000000000000000000000000000;340282350000000000000000000000000000000;340282350000000000000000000000000000000;340282350000000000000000000000000000000;340282350000000000000000000000000000000;340282350000000000000000000000000000000;340282350000000000000000000000000000000;340282350000000000000000000000000000000;340282350000000000000000000000000000000;340282350000000000000000000000000000000;340282350000000000000000000000000000000;340282350000000000000000000000000000000;340282350000000000000000000000000000000;340282350000000000000000000000000000000;340282350000000000000000000000000000000;340282350000000000000000000000000000000;340282350000000000000000000000000000000;340282350000000000000000000000000000000;340282350000000000000000000000000000000;340282350000000000000000000000000000000;340282350000000000000000000000000000000;340282350000000000000000000000000000000;340282350000000000000000000000000000000;340282350000000000000000000000000000000;340282350000000000000000000000000000000;340282350000000000000000000000000000000;340282350000000000000000000000000000000;340282350000000000000000000000000000000;340282350000000000000000000000000000000;340282350000000000000000000000000000000;340282350000000000000000000000000000000;340282350000000000000000000000000000000;340282350000000000000000000000000000000;340282350000000000000000000000000000000;340282350000000000000000000000000000000
08.02.2022 13:00:03;99,9;11642;15,08;27,7;1,69;11,64;11474;16,46;29,78;1,67;11,62;11789;14,3;26,46;1,73;11,49;11143;18,58;32,73;1,85;11,56;11306;17,86;31,75;1,85;11,46;11420;16,48;29,8;1,77;11,41;11577;16,83;30,32;2,59;11,23;11139;18,87;33,11;2,63;11,43;11384;17,97;31,91;2,63;11,33
08.02.2022 14:00:03;99,9;11644;15,07;27,68;1,9;11,62;11475;16,45;29,77;1,81;11,59;11790;14,29;26,45;1,89;11,46;11144;18,57;32,71;1,87;11,51;11307;17,85;31,74;1,87;11,43;11421;16,47;29,79;1,77;11,41;11577;16,83;30,32;2,61;11,2;11139;18,87;33,11;2,63;11,43;11385;17,96;31,89;2,62;11,3
08.02.2022 15:00:03;99,9;11645;15,06;27,67;2,02;11,56;11476;16,45;29,76;2,02;11,54;11792;14,28;26,43;2,04;11,43;11144;18,57;32,71;1,91;11,49;11307;17,85;31,74;1,91;11,38;11421;16,47;29,79;1,79;11,38;11577;16,83;30,32;2,55;11,17;11139;18,87;33,11;2,59;11,41;11385;17,96;31,89;2,59;11,28
08.02.2022 16:00:03;99,9;11646;15,05;27,66;2,13;11,56;11477;16,44;29,75;2,16;11,51;11792;14,28;26,43;2,2;11,38;11145;18,56;32,7;1,93;11,43;11308;17,84;31,73;1,94;11,36;11421;16,47;29,79;1,82;11,33;11578;16,82;30,3;2,59;11,12;11140;18,86;33,1;2,59;11,36;11386;17,95;31,88;2,59;11,23
08.02.2022 17:00:03;99,9;11647;15,05;27,65;2,27;11,56;11478;16,43;29,74;2,25;11,51;11794;14,27;26,41;2,29;11,38;11145;18,56;32,7;1,96;11,43;11309;17,82;31,71;1,98;11,33;11422;16,46;29,78;1,91;11,3;11578;16,82;30,3;2,56;11,1;11140;18,86;33,1;2,59;11,33;11385;17,96;31,89;2,57;11,2
08.02.2022 18:00:03;99,9;11648;15,04;27,64;2,34;11,54;11479;16,43;29,73;2,28;11,51;11796;14,26;26,39;2,35;11,36;11147;18,55;32,68;2,02;11,41;11309;17,82;31,71;2,02;11,33;11423;16,45;29,77;1,97;11,3;11579;16,82;30,29;2,58;11,1;11140;18,86;33,1;2,58;11,33;11386;17,95;31,88;2,58;11,2
08.02.2022 19:00:03;99,9;11650;15,03;27,62;2,35;11,54;11480;16,42;29,72;2,4;11,51;11797;14,25;26,39;2,41;11,36;11147;18,55;32,68;2,09;11,41;11309;17,82;31,71;2,09;11,33;11423;16,45;29,77;2,01;11,28;11578;16,82;30,3;2,58;11,07;11141;18,85;33,09;2,58;11,3;11387;17,94;31,87;2,59;11,17
08.02.2022 20:00:03;99,9;11651;15,02;27,61;2,43;11,56;11481;16,41;29,71;2,42;11,51;11798;14,24;26,38;2,41;11,36;11148;18,54;32,67;2,13;11,41;11310;17,82;31,7;2,14;11,33;11424;16,45;29,76;2,07;11,3;11579;16,82;30,29;2,57;11,07;11141;18,85;33,09;2,59;11,3;11387;17,94;31,87;2,58;11,17
08.02.2022 21:00:03;99,9;11652;15,01;27,59;2,45;11,56;11482;16,41;29,7;2,5;11,51;11801;14,22;26,34;2,48;11,36;11149;18,53;32,66;2,15;11,41;11310;17,82;31,7;2,17;11,33;11425;16,44;29,75;2,09;11,3;11579;16,82;30,29;2,56;11,1;11142;18,85;33,07;2,55;11,33;11388;17,94;31,86;2,57;11,2
