date time;coulombmeter;Raw1;Permitivity1;VWC1;Temp1;Vcc1;Raw2;Permitivity2;VWC2;Temp2;Vcc2;Raw3;Permitivity3;VWC3;Temp3;Vcc3;Raw4;Permitivity4;VWC4;Temp4;Vcc4;Raw5;Permitivity5;VWC5;Temp5;Vcc5;Raw6;Permitivity6;VWC6;Temp6;Vcc6;Raw7;Permitivity7;VWC7;Temp7;Vcc7;Raw8;Permitivity8;VWC8;Temp8;Vcc8;Raw9;Permitivity9;VWC9;Temp9;Vcc9;MatrixPotential1;Temp1;MatrixPotential2;Temp2
26.09.2021 00:00:12;93,5;12421;11,42;21,52;15,11;12,52;12338;11,43;21,54;15,08;12,29;12418;11,25;21,2;15,04;12,5;10982;20,57;35,24;14,94;12,32;10716;23,49;38,51;14,92;12,27;10879;21,71;36,57;14,87;12,29;10912;21,96;36,85;14,48;12,42;10747;23,46;38,49;14,39;12,37;10918;21,59;36,43;14,5;12,27;-17,3;15,2;-8,5;14,5
26.09.2021 01:00:12;93,5;12422;11,42;21,51;14,93;12,47;12338;11,43;21,54;14,89;12,27;12419;11,24;21,19;14,88;12,47;10981;20,58;35,25;14,96;12,27;10716;23,49;38,51;14,93;12,24;10879;21,71;36,57;14,85;12,27;10912;21,96;36,85;14,49;12,4;10747;23,46;38,49;14,39;12,37;10919;21,58;36,42;14,54;12,24;-17,3;15,1;-8,4;14,6
26.09.2021 02:00:12;93,5;12422;11,42;21,51;14,76;12,47;12340;11,42;21,52;14,73;12,24;12421;11,24;21,17;14,66;12,45;10981;20,58;35,25;14,95;12,27;10715;23,5;38,53;14,88;12,21;10879;21,71;36,57;14,86;12,24;10912;21,96;36,85;14,46;12,37;10747;23,46;38,49;14,37;12,34;10917;21,6;36,44;14,56;12,24;-17,3;15,1;-8,4;14,6
26.09.2021 03:00:12;93,5;12422;11,42;21,51;14,59;12,47;12342;11,42;21,51;14,63;12,24;12423;11,23;21,16;14,55;12,45;10982;20,57;35,24;14,92;12,27;10716;23,49;38,51;14,88;12,21;10880;21,7;36,55;14,8;12,24;10911;21,97;36,86;14,51;12,37;10746;23,48;38,5;14,4;12,34;10918;21,59;36,43;14,54;12,24;-17,4;15,1;-8,5;14,6
26.09.2021 04:00:12;93,5;12422;11,42;21,51;14,44;12,47;12344;11,41;21,49;14,43;12,27;12425;11,22;21,14;14,34;12,45;10982;20,57;35,24;14,88;12,27;10717;23,46;38,49;14,85;12,21;10880;21,7;36,55;14,8;12,24;10911;21,97;36,86;14,54;12,37;10746;23,48;38,5;14,42;12,34;10918;21,59;36,43;14,59;12,24;-17,4;15;-8,5;14,6
26.09.2021 05:00:12;93,5;12422;11,42;21,51;14,28;12,47;12345;11,4;21,47;14,28;12,27;12427;11,21;21,13;14,14;12,45;10982;20,57;35,24;14,81;12,27;10717;23,46;38,49;14,8;12,21;10880;21,7;36,55;14,77;12,24;10911;21,97;36,86;14,52;12,37;10746;23,48;38,5;14,41;12,34;10917;21,6;36,44;14,55;12,24;-17,5;14,9;-8,5;14,6
26.09.2021 06:00:12;93,5;12422;11,42;21,51;14,16;12,55;12346;11,39;21,47;14,15;12,34;12430;11,19;21,1;14,02;12,55;10983;20,56;35,23;14,77;12,34;10718;23,45;38,48;14,75;12,29;10881;21,68;36,54;14,7;12,32;10911;21,97;36,86;14,53;12,45;10746;23,48;38,5;14,4;12,42;10918;21,59;36,43;14,59;12,29;-17,5;14,9;-8,5;14,6
26.09.2021 07:00:12;93,5;12422;11,42;21,51;14,09;12,73;12348;11,39;21,45;14,07;12,5;12431;11,19;21,09;13,94;12,71;10985;20,54;35,2;14,73;12,5;10720;23,43;38,45;14,71;12,45;10883;21,65;36,5;14,63;12,47;10911;21,97;36,86;14,55;12,58;10745;23,49;38,51;14,45;12,55;10917;21,6;36,44;14,59;12,42;-17,5;14,8;-8,5;14,6
26.09.2021 08:00:12;93,5;12423;11,42;21,51;14,04;12,86;12349;11,38;21,44;14,02;12,63;12432;11,18;21,08;13,9;12,81;10985;20,54;35,2;14,71;12,6;10722;23,4;38,42;14,64;12,58;10883;21,65;36,5;14,62;12,58;10911;21,97;36,86;14,57;12,71;10746;23,48;38,5;14,44;12,65;10918;21,59;36,43;14,59;12,52;-17,6;14,7;-8,5;14,6
26.09.2021 09:00:12;93,5;12426;11,4;21,48;14,13;12,94;12349;11,38;21,44;14,02;12,68;12433;11,18;21,07;13,93;12,89;10986;20,53;35,19;14,6;12,68;10722;23,4;38,42;14,63;12,63;10884;21,64;36,49;14,59;12,63;10911;21,97;36,86;14,57;12,76;10746;23,48;38,5;14,47;12,73;10918;21,59;36,43;14,6;12,6;-17,7;14,7;-8,5;14,6
26.09.2021 10:00:12;93,5;12428;11,39;21,47;14,25;13,1;12349;11,38;21,44;14,18;12,84;12433;11,18;21,07;14,07;13,04;10987;20,52;35,18;14,56;12,84;10723;23,39;38,41;14,55;12,78;10885;21,63;36,48;14,52;12,81;10912;21,96;36,85;14,58;12,91;10746;23,48;38,5;14,44;12,89;10918;21,59;36,43;14,59;12,76;-17,7;14,6;-8,5;14,6
26.09.2021 11:00:12;93,5;12432;11,37;21,43;14,48;13,1;12350;11,38;21,44;14,4;12,84;12432;11,18;21,08;14,33;13,02;10988;20,51;35,16;14,5;12,81;10725;23,37;38,39;14,52;12,76;10885;21,63;36,48;14,48;12,78;10911;21,97;36,86;14,56;12,91;10747;23,46;38,49;14,43;12,86;10917;21,6;36,44;14,6;12,73;-17,7;14,6;-8,5;14,6
26.09.2021 12:00:12;93,5;12437;11,35;21,39;14,84;13,12;12349;11,38;21,44;14,7;12,86;12432;11,18;21,08;14,7;13,04;10988;20,51;35,16;14,53;12,84;10725;23,37;38,39;14,48;12,78;10886;21,62;36,47;14,45;12,81;10912;21,96;36,85;14,55;12,94;10746;23,48;38,5;14,45;12,89;10918;21,59;36,43;14,6;12,76;-17,7;14,6;-8,6;14,6
26.09.2021 13:00:12;93,5;12440;11,34;21,36;15,27;13,15;12348;11,39;21,45;15,1;12,89;12429;11,2;21,1;15,11;13,07;10988;20,51;35,16;14,49;12,86;10725;23,37;38,39;14,48;12,81;10886;21,62;36,47;14,45;12,84;10911;21,97;36,86;14,57;12,97;10747;23,46;38,49;14,42;12,91;10918;21,59;36,43;14,57;12,78;-17,7;14,6;-8,5;14,6
26.09.2021 14:00:12;93,5;12444;11,32;21,33;15,61;13,12;12347;11,39;21,46;15,49;12,84;12427;11,21;21,13;15,48;13,04;10988;20,51;35,16;14,52;12,84;10724;23,38;38,4;14,49;12,78;10886;21,62;36,47;14,48;12,81;10912;21,96;36,85;14,54;12,94;10748;23,45;38,48;14,41;12,89;10918;21,59;36,43;14,58;12,76;-17,7;14,7;-8,6;14,6
26.09.2021 16:00:12;93,5;12449;11,3;21,29;16,26;13,02;12345;11,4;21,47;16,05;12,76;12421;11,24;21,17;16,13;12,97;10987;20,52;35,18;14,71;12,76;10722;23,4;38,42;14,63;12,71;10883;21,65;36,5;14,62;12,73;10911;21,97;36,86;14,52;12,84;10747;23,46;38,49;14,43;12,78;10919;21,58;36,42;14,59;12,65;-17,7;14,9;-8,5;14,6
26.09.2021 17:00:12;93,5;12449;11,3;21,29;16,39;12,86;12345;11,4;21,47;16,24;12,63;12419;11,24;21,19;16,29;12,84;10985;20,54;35,2;14,75;12,63;10720;23,43;38,45;14,77;12,58;10882;21,67;36,53;14,68;12,6;10912;21,96;36,85;14,52;12,71;10748;23,45;38,48;14,41;12,68;10918;21,59;36,43;14,55;12,55;-17,6;15,1;-8,6;14,6
26.09.2021 18:00:12;93,5;12447;11,31;21,31;16,45;12,76;12345;11,4;21,47;16,3;12,52;12417;11,25;21,21;16,34;12,73;10983;20,56;35,23;14,91;12,52;10718;23,45;38,48;14,82;12,47;10880;21,7;36,55;14,79;12,5;10911;21,97;36,86;14,53;12,6;10747;23,46;38,49;14,42;12,58;10918;21,59;36,43;14,55;12,45;-17,5;15,2;-8,6;14,6
26.09.2021 20:00:12;93,4;12446;11,31;21,32;16,32;12,71;12347;11,39;21,46;16,21;12,47;12416;11,26;21,21;16,29;12,68;10980;20,59;35,26;15,09;12,47;10713;23,52;38,55;15,03;12,42;10877;21,73;36,59;14,98;12,45;10912;21,96;36,85;14,55;12,58;10747;23,46;38,49;14,41;12,52;10918;21,59;36,43;14,51;12,4;-17,4;15,4;-8,6;14,6
26.09.2021 21:00:12;93,4;12446;11,31;21,32;16,19;12,68;12348;11,39;21,45;16,14;12,45;12418;11,25;21,2;16,16;12,65;10979;20,6;35,28;15,13;12,45;10712;23,54;38,56;15,15;12,4;10876;21,74;36,6;15,03;12,42;10911;21,97;36,86;14,53;12,52;10747;23,46;38,49;14,42;12,5;10918;21,59;36,43;14,55;12,4;-17,3;15,5;-8,6;14,6
26.09.2021 22:00:12;93,4;12445;11,32;21,32;16,09;12,68;12349;11,38;21,44;16,02;12,45;12419;11,24;21,19;16,04;12,63;10978;20,61;35,29;15,18;12,45;10711;23,55;38,58;15,2;12,4;10875;21,75;36,62;15,09;12,42;10911;21,97;36,86;14,57;12,52;10747;23,46;38,49;14,43;12,5;10918;21,59;36,43;14,58;12,37;-17,3;15,5;-8,6;14,6
26.09.2021 23:00:12;93,4;12446;11,31;21,32;15,97;12,65;12350;11,38;21,44;15,9;12,42;12419;11,24;21,19;15,93;12,63;10977;20,62;35,3;15,22;12,42;10709;23,57;38,6;15,2;12,37;10874;21,76;36,63;15,2;12,4;10911;21,97;36,86;14,61;12,52;10746;23,48;38,5;14,45;12,5;10918;21,59;36,43;14,59;12,37;-17,3;15,5;-8,6;14,6
27.09.2021 00:00:12;93,4;12444;11,32;21,33;15,8;12,63;12352;11,37;21,42;15,78;12,4;12420;11,24;21,18;15,78;12,6;10976;20,63;35,31;15,26;12,4;10709;23,57;38,6;15,27;12,34;10874;21,76;36,63;15,16;12,37;10910;21,98;36,87;14,59;12,5;10746;23,48;38,5;14,43;12,47;10918;21,59;36,43;14,63;12,34;-17,3;15,5;-8,6;14,7
27.09.2021 01:00:12;93,4;12446;11,31;21,32;15,68;12,63;12353;11,36;21,41;15,66;12,42;12422;11,23;21,17;15,63;12,6;10976;20,63;35,31;15,26;12,4;10708;23,58;38,62;15,25;12,34;10874;21,76;36,63;15,21;12,37;10910;21,98;36,87;14,63;12,5;10745;23,49;38,51;14,49;12,45;10917;21,6;36,44;14,62;12,34;-17,3;15,5;-8,6;14,7
27.09.2021 02:00:12;93,4;12445;11,32;21,32;15,56;12,65;12354;11,36;21,4;15,52;12,42;12423;11,23;21,16;15,51;12,6;10976;20,63;35,31;15,29;12,4;10709;23,57;38,6;15,28;12,34;10874;21,76;36,63;15,22;12,37;10909;21,99;36,89;14,63;12,5;10745;23,49;38,51;14,48;12,47;10917;21,6;36,44;14,66;12,34;-17,3;15,5;-8,6;14,7
27.09.2021 03:00:12;93,4;12446;11,31;21,32;15,49;12,63;12356;11,35;21,39;15,4;12,4;12425;11,22;21,14;15,37;12,6;10975;20,64;35,32;15,27;12,4;10708;23,58;38,62;15,26;12,34;10873;21,77;36,64;15,2;12,37;10909;21,99;36,89;14,65;12,5;10745;23,49;38,51;14,5;12,47;10917;21,6;36,44;14,67;12,34;-17,3;15,5;-8,6;14,7
27.09.2021 04:00:12;93,4;12444;11,32;21,33;15,36;12,65;12357;11,35;21,38;15,33;12,42;12426;11,21;21,13;15,27;12,6;10975;20,64;35,32;15,27;12,4;10708;23,58;38,62;15,27;12,37;10874;21,76;36,63;15,16;12,37;10909;21,99;36,89;14,66;12,5;10744;23,5;38,53;14,52;12,47;10916;21,61;36,46;14,68;12,34;-17,3;15,5;-8,6;14,7
27.09.2021 05:00:12;93,4;12445;11,32;21,32;15,25;12,63;12359;11,34;21,36;15,23;12,4;12427;11,21;21,13;15,16;12,58;10976;20,63;35,31;15,23;12,37;10709;23,57;38,6;15,24;12,34;10874;21,76;36,63;15,19;12,37;10909;21,99;36,89;14,67;12,47;10745;23,49;38,51;14,56;12,45;10916;21,61;36,46;14,72;12,34;-17,4;15,4;-8,6;14,8
27.09.2021 06:00:12;93,4;12445;11,32;21,32;15,18;12,65;12359;11,34;21,36;15,16;12,45;12429;11,2;21,1;15,06;12,63;10977;20,62;35,3;15,23;12,42;10709;23,57;38,6;15,16;12,37;10875;21,75;36,62;15,13;12,4;10909;21,99;36,89;14,69;12,52;10745;23,49;38,51;14,55;12,5;10915;21,62;36,47;14,72;12,37;-17,4;15,4;-8,6;14,8
27.09.2021 07:00:12;93,4;12446;11,31;21,32;15,09;12,84;12361;11,33;21,35;15,08;12,6;12430;11,19;21,1;15,02;12,78;10978;20,61;35,29;15,2;12,58;10710;23,56;38,59;15,19;12,52;10875;21,75;36,62;15,13;12,55;10909;21,99;36,89;14,71;12,65;10745;23,49;38,51;14,59;12,63;10915;21,62;36,47;14,75;12,5;-17,5;15,3;-8,6;14,8
27.09.2021 08:00:12;93,4;12446;11,31;21,32;15,05;12,94;12362;11,33;21,34;15,05;12,68;12431;11,19;21,09;14,96;12,89;10978;20,61;35,29;15,13;12,68;10711;23,55;38,58;15,15;12,6;10875;21,75;36,62;15,1;12,63;10908;22;36,9;14,72;12,76;10744;23,5;38,53;14,59;12,71;10915;21,62;36,47;14,75;12,58;-17,5;15,3;-8,7;14,8
27.09.2021 09:00:12;93,4;12448;11,3;21,3;15,11;13,02;12362;11,33;21,34;15,11;12,76;12432;11,18;21,08;15,02;12,97;10978;20,61;35,29;15,13;12,76;10711;23,55;38,58;15,11;12,71;10876;21,74;36,6;15,07;12,71;10908;22;36,9;14,7;12,84;10744;23,5;38,53;14,62;12,81;10916;21,61;36,46;14,75;12,65;-17,5;15,3;-8,7;14,8
27.09.2021 10:00:12;93,4;12452;11,28;21,26;15,23;13,04;12363;11,32;21,33;15,2;12,81;12432;11,18;21,08;15,2;12,99;10979;20,6;35,28;15,13;12,78;10712;23,54;38,56;15,08;12,73;10877;21,73;36,59;15,05;12,76;10909;21,99;36,89;14,74;12,86;10744;23,5;38,53;14,59;12,84;10916;21,61;36,46;14,74;12,68;-17,5;15,2;-8,7;14,8
27.09.2021 11:00:12;93,4;12454;11,27;21,24;15,44;12,99;12363;11,32;21,33;15,38;12,73;12431;11,19;21,09;15,38;12,94;10978;20,61;35,29;15,09;12,73;10713;23,52;38,55;15,07;12,65;10876;21,74;36,6;15,04;12,71;10908;22;36,9;14,75;12,81;10744;23,5;38,53;14,61;12,78;10915;21,62;36,47;14,76;12,63;-17,6;15,2;-8,7;14,8
27.09.2021 13:00:12;93,4;12458;11,26;21,21;15,91;12,91;12363;11,32;21,33;15,84;12,68;12429;11,2;21,1;15,85;12,86;10979;20,6;35,28;15,1;12,65;10713;23,52;38,55;15,05;12,6;10877;21,73;36,59;15,03;12,63;10907;22,01;36,91;14,72;12,73;10743;23,51;38,54;14,63;12,71;10915;21,62;36,47;14,77;12,58;-17,6;15,3;-8,7;14,8
27.09.2021 14:00:12;93,4;12459;11,25;21,21;16,06;12,91;12362;11,33;21,34;16,02;12,65;12428;11,21;21,12;16,07;12,86;10978;20,61;35,29;15,11;12,65;10712;23,54;38,56;15,12;12,6;10876;21,74;36,6;15,05;12,63;10907;22,01;36,91;14,76;12,73;10744;23,5;38,53;14,63;12,68;10915;21,62;36,47;14,79;12,55;-17,6;15,3;-8,7;14,8
27.09.2021 15:00:12;93,4;12459;11,25;21,21;16,22;12,86;12362;11,33;21,34;16,16;12,63;12427;11,21;21,13;16,17;12,84;10978;20,61;35,29;15,13;12,6;10711;23,55;38,58;15,14;12,55;10876;21,74;36,6;15,05;12,58;10907;22,01;36,91;14,76;12,68;10743;23,51;38,54;14,62;12,65;10915;21,62;36,47;14,77;12,52;-17,6;15,4;-8,7;14,8
27.09.2021 16:00:12;93,4;12459;11,25;21,21;16,26;12,81;12363;11,32;21,33;16,25;12,58;12426;11,21;21,13;16,31;12,76;10977;20,62;35,3;15,19;12,55;10710;23,56;38,59;15,23;12,5;10874;21,76;36,63;15,15;12,52;10907;22,01;36,91;14,73;12,65;10744;23,5;38,53;14,63;12,6;10914;21,64;36,49;14,79;12,5;-17,5;15,5;-8,7;14,8
27.09.2021 17:00:12;93,4;12459;11,25;21,21;16,36;12,78;12362;11,33;21,34;16,28;12,55;12425;11,22;21,14;16,31;12,76;10976;20,63;35,31;15,3;12,55;10709;23,57;38,6;15,27;12,5;10874;21,76;36,63;15,16;12,5;10907;22,01;36,91;14,73;12,63;10743;23,51;38,54;14,63;12,58;10915;21,62;36,47;14,77;12,45;-17,5;15,5;-8,7;14,8
