date time;Baterie (%);Napětí baterie (V);Raw1 AVG;Permitivity1 AVG;VWC1 AVG;Temp1 AVG;Vcc1 AVG;Raw2 AVG;Permitivity2 AVG;VWC2 AVG;Temp2 AVG;Vcc2 AVG;Raw3 AVG;Permitivity3 AVG;VWC3 AVG;Temp3 AVG;Vcc3 AVG;Raw4 AVG;Permitivity4 AVG;VWC4 AVG;Temp4 AVG;Vcc4 AVG;Raw5 AVG;Permitivity5 AVG;VWC5 AVG;Temp5 AVG;Vcc5 AVG;Raw6 AVG;Permitivity6 AVG;VWC6 AVG;Temp6 AVG;Vcc6 AVG;Raw7 AVG;Permitivity7 AVG;VWC7 AVG;Temp7 AVG;Vcc7 AVG;Raw9 AVG;Permitivity9 AVG;VWC9 AVG;Temp9 AVG;Vcc9 AVG
13.06.2023 01:00:00;90;13,47;13932;6,47;11,41;13,12;12,73;12893;9,52;17,89;13,24;12,32;12834;9,87;18,58;13,2;12,55;0;80;96,46;15,97;12,81;13437;7,51;13,7;16,1;12,58;12815;10,1;19,02;16,02;12,81;12058;13,37;24,94;14,81;12,84;11844;14,56;26,89;14,61;12,89
13.06.2023 02:00:00;90;13,456;13933;6,47;11,4;12,95;12,71;12895;9,52;17,88;13,05;12,29;12835;9,87;18,57;12,94;12,55;0;80;96,46;15,67;12,81;13437;7,51;13,7;15,88;12,55;12815;10,1;19,02;15,83;12,78;12058;13,37;24,94;14,8;12,84;11845;14,56;26,88;14,64;12,86
13.06.2023 03:00:00;90;13,453;13934;6,47;11,4;12,77;12,71;12896;9,51;17,87;12,8;12,29;12836;9,86;18,55;12,81;12,55;0;80;96,46;15,37;12,78;13437;7,51;13,7;15,7;12,55;12816;10,09;19,01;15,65;12,78;12059;13,37;24,93;14,78;12,81;11845;14,56;26,88;14,63;12,86
13.06.2023 04:00:00;90;13,457;13934;6,47;11,4;12,59;12,71;12897;9,51;17,87;12,61;12,32;12836;9,86;18,55;12,63;12,55;0;80;96,46;15,08;12,81;13438;7,5;13,69;15,46;12,55;12817;10,09;19;15,42;12,78;12058;13,37;24,94;14,8;12,81;11845;14,56;26,88;14,63;12,86
13.06.2023 05:00:00;90;13,532;13934;6,47;11,4;12,4;12,94;12898;9,51;17,86;12,48;12,45;12838;9,85;18,54;12,45;12,68;0;80;96,46;14,83;12,94;13438;7,5;13,69;15,23;12,68;12816;10,09;19,01;15,21;12,94;12058;13,37;24,94;14,82;12,97;11845;14,56;26,88;14,63;12,99
13.06.2023 06:00:00;90;13,658;13936;6,46;11,39;12,35;13,23;12897;9,51;17,87;12,44;12,68;12839;9,85;18,53;12,38;12,89;0;80;96,46;14,57;13,15;13438;7,5;13,69;15,02;12,86;12817;10,09;19;14,98;13,1;12059;13,37;24,93;14,81;13,15;11845;14,56;26,88;14,62;13,17
13.06.2023 07:00:00;90;13,766;13938;6,46;11,38;12,43;13,41;12899;9,5;17,85;12,55;12,84;12844;9,83;18,5;12,47;13,07;0;80;96,46;14,44;13,3;13441;7,5;13,68;14,82;13,02;12819;10,08;18,98;14,78;13,25;12060;13,36;24,93;14,81;13,28;11847;14,54;26,86;14,62;13,33
13.06.2023 08:00:00;90;13,804;13944;6,44;11,35;12,59;13,43;12903;9,49;17,83;12,7;12,89;12850;9,81;18,45;12,59;13,1;0;80;96,46;14,38;13,33;13445;7,48;13,65;14,73;13,07;12820;10,08;18,98;14,68;13,3;12063;13,34;24,89;14,78;13,33;11850;14,53;26,83;14,58;13,38
13.06.2023 09:00:00;90;13,825;13950;6,43;11,31;12,79;13,46;12906;9,48;17,8;12,92;12,91;12857;9,78;18,4;12,77;13,12;0;80;96,46;14,41;13,36;13450;7,47;13,62;14,7;13,1;12824;10,06;18,95;14,64;13,33;12066;13,33;24,86;14,77;13,38;11856;14,49;26,77;14,58;13,41
13.06.2023 10:00:00;90;13,828;13957;6,41;11,28;13,04;13,46;12911;9,46;17,76;13,16;12,91;12866;9,75;18,33;13;13,12;0;80;96,46;14,52;13,36;13455;7,46;13,59;14,71;13,1;12828;10,05;18,92;14,66;13,33;12070;13,3;24,83;14,74;13,36;11861;14,46;26,72;14,58;13,41
13.06.2023 11:00:00;90;13,83;13964;6,39;11,24;13,28;13,46;12915;9,45;17,74;13,41;12,89;12875;9,71;18,26;13,17;13,12;0;80;96,46;14,7;13,36;13459;7,45;13,57;14,8;13,1;12832;10,03;18,89;14,71;13,3;12075;13,28;24,78;14,67;13,36;11867;14,42;26,66;14,52;13,41
13.06.2023 12:00:00;90;13,831;13972;6,38;11,2;13,48;13,43;12920;9,43;17,7;13,65;12,89;12882;9,68;18,21;13,39;13,1;0;80;96,46;15,02;13,33;13464;7,43;13,54;14,93;13,07;12837;10,01;18,85;14,84;13,3;12081;13,24;24,72;14,69;13,36;11874;14,38;26,59;14,47;13,41
13.06.2023 13:00:00;90;13,797;13979;6,36;11,16;13,65;13,3;12923;9,42;17,68;13,82;12,78;12892;9,65;18,14;13,55;13,02;0;80;96,46;15,38;13,28;13467;7,42;13,52;15,13;13,02;12839;10;18,83;15,05;13,25;12086;13,22;24,68;14,66;13,3;11881;14,33;26,52;14,49;13,33
13.06.2023 14:00:00;90;13,737;13982;6,35;11,14;13,74;13,12;12925;9,41;17,67;13,92;12,71;12896;9,63;18,11;13,69;12,94;0;80;96,46;15,87;13,2;13465;7,43;13,53;15,41;12,94;12837;10,01;18,85;15,35;13,17;12088;13,2;24,66;14,61;13,23;11885;14,31;26,48;14,52;13,25
13.06.2023 15:00:00;90;13,664;13984;6,35;11,13;13,8;13,02;12926;9,4;17,65;13,94;12,6;12898;9,62;18,09;13,73;12,84;0;80;96,46;16,19;13,1;13463;7,43;13,54;15,64;12,86;12834;10,02;18,87;15,6;13,07;12090;13,19;24,64;14,56;13,12;11889;14,28;26,44;14,46;13,17
13.06.2023 16:00:00;90;13,657;13985;6,35;11,13;13,76;13,02;12927;9,4;17,65;13,87;12,6;12900;9,62;18,07;13,69;12,84;0;80;96,46;16,41;13,1;13460;7,44;13,56;15,85;12,84;12833;10,03;18,88;15,77;13,07;12091;13,19;24,63;14,55;13,1;11892;14,27;26,41;14,41;13,15
