date time;coulombmeter;Raw1;Permitivity1;VWC1;Temp1;Vcc1;Raw2;Permitivity2;VWC2;Temp2;Vcc2;Raw3;Permitivity3;VWC3;Temp3;Vcc3;Raw4;Permitivity4;VWC4;Temp4;Vcc4;Raw5;Permitivity5;VWC5;Temp5;Vcc5;Raw6;Permitivity6;VWC6;Temp6;Vcc6;Raw7;Permitivity7;VWC7;Temp7;Vcc7;Raw8;Permitivity8;VWC8;Temp8;Vcc8;Raw9;Permitivity9;VWC9;Temp9;Vcc9
29.03.2023 13:00:00;100;12,68;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a13.04.2023 12:20:00;99,4;13,134;10800;24,62;39,67;7,12;13,04;10650;26,58;41,53;7,43;12,52;10645;27,31;42,18;7,3;12,76;0;80;96,46;7,41;12,97;11485;16,61;29,99;7,34;12,65;11255;19,82;34,31;7,23;12,89;10943;22,56;37,52;6,61;12,89;n/a;n/a;n/a;n/a;n/a;10707;25,25;40,29;6,55
13.04.2023 12:30:00;99,4;13,103;10799;24,64;39,69;7,13;12,99;10650;26,58;41,53;7,48;12,47;10643;27,34;42,21;7,36;12,71;0;80;96,46;7,41;12,91;11485;16,61;29,99;7,3;12,6;11255;19,82;34,31;7,23;12,81;10943;22,56;37,52;6,63;12,84;n/a;n/a;n/a;n/a;n/a;10708;25,24;40,28;6,57
13.04.2023 12:40:00;99,4;13,102;10799;24,64;39,69;7,15;12,99;10650;26,58;41,53;7,47;12,47;10635;27,48;42,33;7,38;12,71;0;80;96,46;7,45;12,91;11485;16,61;29,99;7,32;12,63;11254;19,83;34,32;7,32;12,81;10944;22,55;37,5;6,62;12,84;n/a;n/a;n/a;n/a;n/a;10707;25,25;40,29;6,52
13.04.2023 12:50:00;99,4;13,103;10800;24,62;39,67;7,17;12,99;10650;26,58;41,53;7,52;12,47;10635;27,48;42,33;7,35;12,71;0;80;96,46;7,46;12,89;11484;16,61;30;7,34;12,63;11255;19,82;34,31;7,27;12,84;10943;22,56;37,52;6,64;12,84;n/a;n/a;n/a;n/a;n/a;10707;25,25;40,29;6,55
13.04.2023 13:00:00;99,4;13,102;10799;24,64;39,69;7,19;12,99;10650;26,58;41,53;7,52;12,47;10630;27,56;42,4;7,39;12,71;0;80;96,46;7,53;12,91;11484;16,61;30;7,35;12,63;11254;19,83;34,32;7,28;12,84;10944;22,55;37,5;6,61;12,84;n/a;n/a;n/a;n/a;n/a;10707;25,25;40,29;6,52
13.04.2023 13:10:00;99,4;13,096;10800;24,62;39,67;7,19;12,99;10651;26,56;41,52;7,55;12,47;10644;27,32;42,2;7,41;12,73;0;80;96,46;7,53;12,91;11485;16,61;29,99;7,36;12,6;11254;19,83;34,32;7,32;12,84;10944;22,55;37,5;6,63;12,84;n/a;n/a;n/a;n/a;n/a;10707;25,25;40,29;6,57
13.04.2023 13:20:00;99,4;13,094;10800;24,62;39,67;7,19;12,99;10651;26,56;41,52;7,56;12,47;10645;27,31;42,18;7,43;12,73;0;80;96,46;7,56;12,91;11484;16,61;30;7,41;12,63;11254;19,83;34,32;7,36;12,84;10944;22,55;37,5;6,62;12,84;n/a;n/a;n/a;n/a;n/a;10707;25,25;40,29;6,57
13.04.2023 13:30:00;99,4;13,102;10801;24,6;39,65;7,21;12,99;10651;26,56;41,52;7,59;12,5;10644;27,32;42,2;7,45;12,71;0;80;96,46;7,63;12,91;11484;16,61;30;7,41;12,63;11254;19,83;34,32;7,34;12,84;10944;22,55;37,5;6,59;12,84;n/a;n/a;n/a;n/a;n/a;10707;25,25;40,29;6,54
13.04.2023 13:40:00;99,4;13,114;10800;24,62;39,67;7,24;12,99;10652;26,55;41,5;7,59;12,5;10644;27,32;42,2;7,45;12,73;0;80;96,46;7,66;12,91;11484;16,61;30;7,41;12,63;11255;19,82;34,31;7,36;12,84;10944;22,55;37,5;6,64;12,84;n/a;n/a;n/a;n/a;n/a;10707;25,25;40,29;6,57
13.04.2023 13:50:00;99,4;13,116;10801;24,6;39,65;7,25;13,02;10652;26,55;41,5;7,63;12,5;10644;27,32;42,2;7,47;12,73;0;80;96,46;7,66;12,94;11484;16,61;30;7,48;12,63;11255;19,82;34,31;7,38;12,84;10944;22,55;37,5;6,6;12,84;n/a;n/a;n/a;n/a;n/a;10707;25,25;40,29;6,56
13.04.2023 14:00:00;99,4;13,102;10801;24,6;39,65;7,29;12,99;10651;26,56;41,52;7,63;12,5;10645;27,31;42,18;7,52;12,73;0;80;96,46;7,69;12,91;11484;16,61;30;7,45;12,63;11254;19,83;34,32;7,41;12,86;10944;22,55;37,5;6,62;12,84;n/a;n/a;n/a;n/a;n/a;10707;25,25;40,29;6,55
13.04.2023 14:10:00;99,4;13,095;10801;24,6;39,65;7,32;12,99;10651;26,56;41,52;7,68;12,5;10644;27,32;42,2;7,56;12,73;0;80;96,46;7,71;12,91;11485;16,61;29,99;7,45;12,63;11254;19,83;34,32;7,43;12,84;10944;22,55;37,5;6,64;12,84;n/a;n/a;n/a;n/a;n/a;10707;25,25;40,29;6,56
13.04.2023 14:20:00;99,4;13,089;10801;24,6;39,65;7,35;12,97;10652;26,55;41,5;7,71;12,47;10644;27,32;42,2;7,59;12,73;0;80;96,46;7,78;12,91;11484;16,61;30;7,55;12,63;11254;19,83;34,32;7,46;12,84;10944;22,55;37,5;6,63;12,84;n/a;n/a;n/a;n/a;n/a;10707;25,25;40,29;6,55
13.04.2023 14:30:00;98,9;13,372;10801;24,6;39,65;7,37;12,97;10650;26,58;41,53;7,69;12,47;10644;27,32;42,2;7,6;12,71;0;80;96,46;7,8;12,89;11484;16,61;30;7,52;12,6;11254;19,83;34,32;7,47;12,81;10944;22,55;37,5;6,63;12,81;10707;25,25;40,29;6,55;12,89;n/a;n/a;n/a;n/a
13.04.2023 14:40:00;98,9;13,41;10801;24,6;39,65;7,39;12,99;10651;26,56;41,52;7,76;12,5;10645;27,31;42,18;7,6;12,73;0;80;96,46;7,85;12,94;11484;16,61;30;7,55;12,63;11254;19,83;34,32;7,48;12,86;10944;22,55;37,5;6,63;12,86;10707;25,25;40,29;6,55;12,94;n/a;n/a;n/a;n/a
13.04.2023 14:50:00;98,9;13,416;10801;24,6;39,65;7,39;12,99;10651;26,56;41,52;7,77;12,5;10645;27,31;42,18;7,62;12,73;0;80;96,46;7,9;12,94;11484;16,61;30;7,55;12,63;11255;19,82;34,31;7,52;12,86;10944;22,55;37,5;6,66;12,86;10707;25,25;40,29;6,53;12,94;n/a;n/a;n/a;n/a
13.04.2023 15:00:00;98,9;13,422;10802;24,58;39,63;7,42;13,02;10652;26,55;41,5;7,77;12,52;10646;27,29;42,17;7,65;12,76;0;80;96,46;7,95;12,94;11484;16,61;30;7,6;12,65;11254;19,83;34,32;7,53;12,86;10944;22,55;37,5;6,64;12,86;10707;25,25;40,29;6,55;12,94;n/a;n/a;n/a;n/a
13.04.2023 15:10:00;98,9;13,423;10802;24,58;39,63;7,4;13,02;10651;26,56;41,52;7,78;12,5;10642;27,36;42,22;7,66;12,76;0;80;96,46;7,92;12,94;11484;16,61;30;7,63;12,65;11255;19,82;34,31;7,55;12,89;10944;22,55;37,5;6,62;12,86;10707;25,25;40,29;6,56;12,94;n/a;n/a;n/a;n/a
