date time;coulombmeter;Raw1;Permitivity1;VWC1;Temp1;Vcc1;Raw2;Permitivity2;VWC2;Temp2;Vcc2;Raw3;Permitivity3;VWC3;Temp3;Vcc3;Raw4;Permitivity4;VWC4;Temp4;Vcc4;Raw5;Permitivity5;VWC5;Temp5;Vcc5;Raw6;Permitivity6;VWC6;Temp6;Vcc6;Raw7;Permitivity7;VWC7;Temp7;Vcc7;Raw8;Permitivity8;VWC8;Temp8;Vcc8;Raw9;Permitivity9;VWC9;Temp9;Vcc9
14.02.2022 00:00:03;98,8;11006;21,37;36,18;1,97;12,24;11131;20,65;35,34;2,3;11,46;11192;19,71;34,18;2,34;11,9;11543;17,15;30,77;2,59;11,9;11181;20,27;34,87;2,49;11,93;11174;19,65;34,1;2,45;11,95;11357;18,65;32,82;3,47;11,72;11131;21,1;35,86;3,53;11,75;11323;18,12;32,11;3,55;11,75
14.02.2022 01:00:03;98,8;11016;21,25;36,04;1,96;12,21;11131;20,65;35,34;2,23;11,43;11192;19,71;34,18;2,3;11,88;11543;17,15;30,77;2,57;11,88;11181;20,27;34,87;2,44;11,93;11174;19,65;34,1;2,42;11,93;11357;18,65;32,82;3,5;11,72;11130;21,11;35,87;3,49;11,72;11323;18,12;32,11;3,54;11,72
14.02.2022 02:00:03;98,8;11010;21,31;36,12;1,86;12,24;11132;20,64;35,32;2,2;11,46;11192;19,71;34,18;2,26;11,88;11543;17,15;30,77;2,52;11,9;11181;20,27;34,87;2,45;11,93;11174;19,65;34,1;2,37;11,93;11357;18,65;32,82;3,5;11,72;11130;21,11;35,87;3,52;11,72;11323;18,12;32,11;3,52;11,72
14.02.2022 03:00:03;98,8;11003;21,4;36,21;1,81;12,21;11132;20,64;35,32;2,15;11,43;11192;19,71;34,18;2,22;11,88;11542;17,17;30,79;2,47;11,88;11181;20,27;34,87;2,43;11,9;11174;19,65;34,1;2,34;11,9;11357;18,65;32,82;3,46;11,69;11131;21,1;35,86;3,49;11,72;11323;18,12;32,11;3,52;11,72
14.02.2022 04:00:03;98,8;11005;21,38;36,19;1,76;12,16;11133;20,63;35,31;2,09;11,38;11192;19,71;34,18;2,17;11,82;11543;17,15;30,77;2,46;11,82;11182;20,26;34,86;2,38;11,85;11175;19,64;34,09;2,28;11,85;11357;18,65;32,82;3,46;11,64;11130;21,11;35,87;3,5;11,67;11323;18,12;32,11;3,52;11,67
14.02.2022 05:00:03;98,8;11004;21,39;36,2;1,66;12,11;11133;20,63;35,31;1,99;11,36;11193;19,7;34,17;2,12;11,77;11543;17,15;30,77;2,44;11,77;11181;20,27;34,87;2,33;11,8;11175;19,64;34,09;2,27;11,82;11357;18,65;32,82;3,47;11,62;11131;21,1;35,86;3,48;11,62;11323;18,12;32,11;3,49;11,64
14.02.2022 06:00:03;98,8;11004;21,39;36,2;1,62;12,14;11134;20,62;35,3;1,98;11,36;11192;19,71;34,18;2,02;11,8;11544;17,14;30,76;2,43;11,8;11181;20,27;34,87;2,29;11,82;11175;19,64;34,09;2,23;11,85;11358;18,64;32,8;3,45;11,62;11131;21,1;35,86;3,49;11,64;11324;18,11;32,1;3,46;11,64
14.02.2022 07:00:03;98,8;11002;21,41;36,23;1,55;12,32;11134;20,62;35,3;1,9;11,54;11193;19,7;34,17;2;11,98;11544;17,14;30,76;2,38;11,98;11182;20,26;34,86;2,27;12,01;11176;19,63;34,08;2,17;12,01;11358;18,64;32,8;3,45;11,8;11131;21,1;35,86;3,48;11,8;11324;18,11;32,1;3,48;11,8
14.02.2022 08:00:03;98,8;11004;21,39;36,2;1,51;12,52;11134;20,62;35,3;1,84;11,72;11193;19,7;34,17;1,96;12,19;11544;17,14;30,76;2,34;12,19;11182;20,26;34,86;2,23;12,21;11176;19,63;34,08;2,15;12,21;11357;18,65;32,82;3,44;11,98;11132;21,09;35,85;3,44;11,98;11323;18,12;32,11;3,45;11,98
14.02.2022 09:00:03;98,8;11002;21,41;36,23;1,43;12,6;11135;20,61;35,29;1,81;11,8;11193;19,7;34,17;1,91;12,27;11545;17,14;30,75;2,3;12,29;11183;20,25;34,85;2,2;12,29;11176;19,63;34,08;2,13;12,29;11358;18,64;32,8;3,44;12,06;11131;21,1;35,86;3,45;12,06;11323;18,12;32,11;3,44;12,06
