date time;coulombmeter;Raw1;Permitivity1;VWC1;Temp1;Vcc1;Raw2;Permitivity2;VWC2;Temp2;Vcc2;Raw3;Permitivity3;VWC3;Temp3;Vcc3;Raw4;Permitivity4;VWC4;Temp4;Vcc4;Raw5;Permitivity5;VWC5;Temp5;Vcc5;Raw6;Permitivity6;VWC6;Temp6;Vcc6;Raw7;Permitivity7;VWC7;Temp7;Vcc7;Raw8;Permitivity8;VWC8;Temp8;Vcc8;Raw9;Permitivity9;VWC9;Temp9;Vcc9
18.01.2023 01:00:00;95,1;10921;22,34;37,28;3,02;10,99;11324;18,77;32,97;3,17;9,98;11310;18,61;32,76;3,23;10,11;10833;24,65;39,7;2,97;9,98;10932;23,1;38,11;2,91;9,88;10924;22,35;37,29;2,75;9,8;11071;21,51;36,35;4,37;9,54;10871;24,21;39,26;4,38;9,51;10979;21,46;36,29;4,4;9,49
18.01.2023 02:00:00;95,1;10921;22,34;37,28;2,96;10,99;11325;18,76;32,96;3,16;10,01;11310;18,61;32,76;3,21;10,14;10833;24,65;39,7;2,92;9,98;10932;23,1;38,11;2,85;9,88;10924;22,35;37,29;2,7;9,82;11072;21,5;36,33;4,33;9,56;10871;24,21;39,26;4,34;9,54;10979;21,46;36,29;4,39;9,49
18.01.2023 03:00:00;95,1;10923;22,32;37,26;2,96;10,99;11325;18,76;32,96;3,13;10,01;11311;18,6;32,75;3,16;10,14;10833;24,65;39,7;2,86;9,98;10932;23,1;38,11;2,8;9,88;10924;22,35;37,29;2,66;9,82;11072;21,5;36,33;4,34;9,56;10871;24,21;39,26;4,36;9,54;10980;21,45;36,27;4,35;9,49
18.01.2023 04:00:00;95,1;10923;22,32;37,26;2,95;10,99;11327;18,74;32,94;3,12;10,01;11311;18,6;32,75;3,17;10,14;10833;24,65;39,7;2,82;10,01;10933;23,09;38,09;2,78;9,88;10924;22,35;37,29;2,63;9,82;11073;21,49;36,32;4,31;9,56;10871;24,21;39,26;4,36;9,54;10979;21,46;36,29;4,36;9,49
18.01.2023 05:00:00;95,1;10923;22,32;37,26;2,92;10,99;11327;18,74;32,94;3,09;10,01;11312;18,59;32,74;3,16;10,14;10833;24,65;39,7;2,81;10,01;10932;23,1;38,11;2,74;9,9;10924;22,35;37,29;2,58;9,82;11074;21,48;36,31;4,3;9,59;10871;24,21;39,26;4,34;9,56;10980;21,45;36,27;4,33;9,51
18.01.2023 06:00:00;95,1;10926;22,29;37,22;2,91;10,99;11327;18,74;32,94;3,11;10,01;11313;18,58;32,73;3,15;10,14;10833;24,65;39,7;2,77;10,01;10933;23,09;38,09;2,73;9,9;10925;22,33;37,27;2,59;9,82;11074;21,48;36,31;4,28;9,59;10872;24,2;39,24;4,29;9,56;10980;21,45;36,27;4,3;9,51
18.01.2023 07:00:00;95,1;10927;22,28;37,21;2,95;11,02;11328;18,73;32,92;3,11;10,01;11314;18,57;32,71;3,16;10,16;10833;24,65;39,7;2,77;10,01;10932;23,1;38,11;2,72;9,9;10924;22,35;37,29;2,55;9,85;11074;21,48;36,31;4,27;9,59;10872;24,2;39,24;4,31;9,56;10980;21,45;36,27;4,25;9,54
18.01.2023 08:00:00;95,1;10931;22,23;37,16;2,97;10,34;11329;18,72;32,9;3,13;9,49;11314;18,57;32,71;3,15;9,62;10833;24,65;39,7;2,73;9,59;10933;23,09;38,09;2,68;9,59;10924;22,35;37,29;2,52;9,59;11076;21,46;36,29;4,22;9,38;10872;24,2;39,24;4,27;9,41;10981;21,44;36,26;4,24;9,43
18.01.2023 09:00:00;95,1;n/a;n/a;n/a;n/a;n/a;11329;18,72;32,9;3,11;8,99;11315;18,55;32,69;3,12;9,33;10833;24,65;39,7;2,72;9,38;10932;23,1;38,11;2,66;9,43;10924;22,35;37,29;2,51;9,46;11077;21,45;36,27;4,24;9,3;10872;24,2;39,24;4,27;9,33;10981;21,44;36,26;4,27;9,33
18.01.2023 10:00:00;95,1;n/a;n/a;n/a;n/a;n/a;11330;18,71;32,89;3,12;8,94;11316;18,55;32,68;3,17;9,3;10833;24,65;39,7;2,7;9,36;10932;23,1;38,11;2,63;9,38;10923;22,37;37,31;2,47;9,43;11078;21,44;36,26;4,22;9,28;10872;24,2;39,24;4,23;9,28;10981;21,44;36,26;4,2;9,3
