date time;Baterie (%);Napětí baterie (V);Raw1 AVG;Permitivity1 AVG;VWC1 AVG;Temp1 AVG;Vcc1 AVG;Raw3 AVG;Permitivity3 AVG;VWC3 AVG;Temp3 AVG;Vcc3 AVG;Raw4 AVG;Permitivity4 AVG;VWC4 AVG;Temp4 AVG;Vcc4 AVG;Raw5 AVG;Permitivity5 AVG;VWC5 AVG;Temp5 AVG;Vcc5 AVG;Raw6 AVG;Permitivity6 AVG;VWC6 AVG;Temp6 AVG;Vcc6 AVG;Raw7 AVG;Permitivity7 AVG;VWC7 AVG;Temp7 AVG;Vcc7 AVG;Raw8 AVG;Permitivity8 AVG;VWC8 AVG;Temp8 AVG;Vcc8 AVG;Raw9 AVG;Permitivity9 AVG;VWC9 AVG;Temp9 AVG;Vcc9 AVG;MatrixPotential1 AVG;Temp1 AVG;MatrixPotential2 AVG;Temp2 AVG
13.06.2023 01:00:00;98,3;13,329;14927;4,53;6,85;14,73;12,68;13397;7,98;14,72;14,63;12,78;11517;16,9;30,41;17,61;12,71;11303;17,84;31,73;17,6;12,84;11452;17,92;31,84;17,59;12,78;10704;24,36;39,41;15,48;12,97;10750;25,31;40,34;15,59;12,86;10740;24,83;39,88;15,6;12,65;-37,5;17,6;-0,1;15,7
13.06.2023 02:00:00;98,3;13,326;14929;4,53;6,84;14,52;12,65;13399;7,97;14,7;14,38;12,78;11519;16,88;30,39;17,46;12,71;11305;17,82;31,71;17,48;12,81;11455;17,89;31,8;17,49;12,78;10705;24,35;39,4;15,5;12,94;10750;25,31;40,34;15,6;12,86;10739;24,85;39,9;15,61;12,63;-37,7;17,5;-0,1;15,7
13.06.2023 03:00:00;98,3;13,322;14931;4,53;6,83;14,31;12,63;13401;7,97;14,69;14,2;12,78;11523;16,85;30,35;17,35;12,68;11306;17,82;31,7;17,4;12,81;11456;17,88;31,78;17,38;12,76;10705;24,35;39,4;15,5;12,94;10750;25,31;40,34;15,59;12,84;10740;24,83;39,88;15,58;12,63;-37,6;17,4;-0,1;15,7
13.06.2023 04:00:00;98,3;13,321;14934;4,52;6,82;14,1;12,63;13402;7,97;14,69;14,01;12,78;11524;16,85;30,34;17,22;12,71;11308;17,79;31,66;17,27;12,81;11458;17,86;31,76;17,29;12,76;10705;24,35;39,4;15,51;12,94;10750;25,31;40,34;15,63;12,86;10740;24,83;39,88;15,63;12,65;-37,7;17,3;-0,1;15,8
13.06.2023 05:00:00;98,3;13,374;14936;4,52;6,81;13,94;12,73;13403;7,96;14,68;13,8;12,86;11527;16,82;30,3;17,05;12,78;11309;17,78;31,65;17,07;12,89;11460;17,85;31,74;17,13;12,84;10705;24,35;39,4;15,5;13,02;10750;25,31;40,34;15,59;12,94;10741;24,82;39,87;15,62;12,71;-37,9;17,2;-0,1;15,8
13.06.2023 06:00:00;98,3;13,454;14938;4,51;6,8;13,8;12,86;13404;7,96;14,68;13,72;12,97;11528;16,82;30,29;16,88;12,89;11311;17,77;31,63;16,92;12,99;11462;17,83;31,72;16,98;12,94;10706;24,34;39,39;15,52;13,12;10751;25,29;40,33;15,64;13,04;10741;24,82;39,87;15,64;12,81;-38,1;17;-0,1;15,8
13.06.2023 07:00:00;98,3;13,539;14942;4,51;6,79;13,76;12,99;13405;7,96;14,67;13,74;13,07;11530;16,8;30,27;16,74;12,99;11314;17,75;31,6;16,77;13,1;11464;17,82;31,7;16,83;13,04;10706;24,34;39,39;15,52;13,23;10751;25,29;40,33;15,63;13,15;10741;24,82;39,87;15,64;12,91;-38,2;16,9;-0,1;15,8
13.06.2023 08:00:00;98,3;13,588;14948;4,5;6,76;13,83;13,04;13410;7,94;14,64;13,79;13,12;11534;16,76;30,22;16,59;13,04;11319;17,71;31,55;16,63;13,15;11466;17,8;31,68;16,7;13,1;10706;24,34;39,39;15,54;13,28;10753;25,25;40,29;15,63;13,17;10742;24,81;39,86;15,59;12,97;-38,2;16,7;-0,1;15,8
13.06.2023 09:00:00;98,3;13,609;14956;4,49;6,73;13,94;13,07;13408;7,95;14,65;13,95;13,15;11539;16,73;30,17;16,45;13,04;11324;17,67;31,49;16,5;13,17;11470;17,77;31,63;16,59;13,12;10708;24,31;39,36;15,5;13,3;10754;25,24;40,28;15,59;13,23;10741;24,82;39,87;15,63;12,99;-38,6;16,6;-0,1;15,8
13.06.2023 10:00:00;98,3;13,616;14964;4,47;6,7;14,15;13,07;13415;7,93;14,6;14,2;13,17;11544;16,69;30,12;16,35;13,07;11329;17,62;31,43;16,43;13,17;11472;17,75;31,61;16,47;13,12;10708;24,31;39,36;15,5;13,3;10754;25,24;40,28;15,62;13,23;10742;24,81;39,86;15,62;12,99;-38,7;16,5;-0,1;15,7
13.06.2023 11:00:00;98,3;13,633;14971;4,46;6,68;14,37;13,1;13421;7,91;14,57;14,45;13,17;11549;16,65;30,05;16,33;13,07;11334;17,58;31,37;16,37;13,2;11476;17,71;31,56;16,38;13,15;10709;24,3;39,35;15,48;13,33;10755;25,23;40,26;15,57;13,25;10743;24,79;39,84;15,61;13,02;-38,9;16,4;-0,1;15,7
13.06.2023 12:00:00;98,3;13,655;14979;4,45;6,65;14,64;13,15;13435;7,87;14,48;14,71;13,23;11553;16,62;30,01;16,34;13,12;11337;17,56;31,34;16,33;13,23;11480;17,68;31,51;16,34;13,17;10716;24,2;39,24;15,47;13,36;10756;25,21;40,25;15,58;13,28;10743;24,79;39,84;15,58;13,04;-39,2;16,4;-0,1;15,7
13.06.2023 13:00:00;98,3;13,643;14984;4,44;6,62;14,92;13,07;13439;7,86;14,46;15,06;13,17;11555;16,61;29,99;16,47;13,1;11339;17,54;31,32;16,37;13,2;11481;17,67;31,5;16,4;13,15;10717;24,18;39,23;15,48;13,33;10759;25,17;40,21;15,55;13,25;10744;24,78;39,83;15,53;13,02;-39,6;16,4;-0,1;15,7
13.06.2023 14:00:00;98,3;13,542;14985;4,44;6,62;15,17;12,97;13441;7,85;14,44;15,25;13,07;11555;16,61;29,99;16,6;12,97;11340;17,53;31,31;16,54;13,1;11482;17,67;31,49;16,52;13,04;10718;24,17;39,22;15,45;13,23;10759;25,17;40,21;15,55;13,12;10745;24,77;39,82;15,51;12,91;-39,7;16,5;-0,1;15,7
13.06.2023 15:00:00;98,3;13,506;14985;4,44;6,62;15,27;12,91;13441;7,85;14,44;15,33;13,02;11553;16,62;30,01;16,79;12,91;11339;17,54;31,32;16,73;13,04;11481;17,67;31,5;16,66;12,99;10718;24,17;39,22;15,38;13,17;10759;25,17;40,21;15,49;13,07;10745;24,77;39,82;15,51;12,86;-40;16,6;-0,1;15,6
13.06.2023 16:00:00;98,3;13,472;14985;4,44;6,62;15,26;12,89;13443;7,85;14,43;15,36;12,97;11550;16,64;30,04;16,98;12,89;11338;17,55;31,33;16,92;13,02;11479;17,69;31,52;16,83;12,97;10718;24,17;39,22;15,4;13,15;10759;25,17;40,21;15,54;13,04;10746;24,76;39,8;15,47;12,84;-40,2;16,8;-0,1;15,6
13.06.2023 17:00:00;98,3;13,456;14985;4,44;6,62;15,25;12,86;13443;7,85;14,43;15,3;12,97;11549;16,65;30,05;17,12;12,86;11337;17,56;31,34;17,05;12,99;11478;17,7;31,53;16,98;12,94;10720;24,15;39,19;15,37;13,12;10760;25,16;40,2;15,46;13,02;10747;24,74;39,79;15,45;12,81;-40,2;16,9;-0,1;15,6
13.06.2023 18:00:00;98,3;13,456;14965;4,47;6,7;15,2;12,86;13443;7,85;14,43;15,25;12,97;11546;16,67;30,08;17,23;12,86;11336;17,56;31,35;17,16;12,99;11477;17,71;31,55;17,07;12,94;10720;24,15;39,19;15,34;13,12;10760;25,16;40,2;15,48;13,02;10747;24,74;39,79;15,48;12,81;-40,6;17;-0,1;15,6
13.06.2023 19:00:00;98,3;13,448;14966;4,47;6,69;15,14;12,84;13443;7,85;14,43;15,21;12,94;11545;16,68;30,11;17,3;12,86;11336;17,56;31,35;17,21;12,97;11477;17,71;31,55;17,18;12,94;10723;24,11;39,15;15,36;13,12;10760;25,16;40,2;15,48;13,02;10747;24,74;39,79;15,45;12,81;-40,6;17,1;-0,1;15,6
13.06.2023 20:00:00;98,3;13,434;14969;4,47;6,68;15,09;12,81;13445;7,84;14,42;15,1;12,91;11545;16,68;30,11;17,33;12,84;11337;17,56;31,34;17,29;12,97;11477;17,71;31,55;17,22;12,91;10723;24,11;39,15;15,36;13,1;10760;25,16;40,2;15,4;12,99;10748;24,73;39,78;15,45;12,78;-40,6;17,2;-0,1;15,6
13.06.2023 21:00:00;98,3;13,418;14962;4,48;6,71;14,99;12,78;13445;7,84;14,42;14,98;12,89;11545;16,68;30,11;17,28;12,81;11337;17,56;31,34;17,25;12,94;11477;17,71;31,55;17,23;12,89;10723;24,11;39,15;15,33;13,07;10760;25,16;40,2;15,45;12,97;10749;24,72;39,76;15,45;12,76;-40,7;17,2;-0,1;15,6
13.06.2023 22:00:00;98,3;13,402;14979;4,45;6,65;14,91;12,76;13446;7,84;14,41;14,91;12,89;11545;16,68;30,11;17,29;12,78;11338;17,55;31,33;17,26;12,91;11478;17,7;31,53;17,22;12,86;10724;24,1;39,14;15,34;13,04;10760;25,16;40,2;15,49;12,94;10748;24,73;39,78;15,46;12,73;-40,9;17,2;-0,1;15,6
13.06.2023 23:00:00;98,3;13,401;14976;4,46;6,66;14,8;12,76;13447;7,83;14,41;14,78;12,86;11545;16,68;30,11;17,23;12,78;11338;17,55;31,33;17,17;12,91;11478;17,7;31,53;17,18;12,89;10726;24,07;39,12;15,38;13,04;10761;25,14;40,18;15,48;12,97;10748;24,73;39,78;15,44;12,73;-41;17,2;-0,1;15,6
14.06.2023 00:00:00;98,3;13,363;14980;4,45;6,64;14,68;12,76;13448;7,83;14,4;14,62;12,89;11546;16,67;30,08;17,16;12,78;11339;17,54;31,32;17,16;12,91;11479;17,69;31,52;17,15;12,86;10726;24,07;39,12;15,38;13,04;10761;25,14;40,18;15,5;12,94;10749;24,72;39,76;15,48;12,73;-41,1;17,1;-0,1;15,6
14.06.2023 01:00:00;98,3;13,363;14984;4,44;6,62;14,55;12,73;13449;7,83;14,4;14,51;12,84;11547;16,66;30,07;17,06;12,76;11340;17,53;31,31;17,08;12,86;11480;17,68;31,51;17,04;12,84;10726;24,07;39,12;15,39;12,99;10761;25,14;40,18;15,5;12,91;10749;24,72;39,76;15,47;12,71;-41,2;17,1;-0,1;15,6
14.06.2023 02:00:00;98,3;13,368;14985;4,44;6,62;14,38;12,73;13450;7,83;14,39;14,41;12,84;11548;16,66;30,06;17;12,76;11342;17,52;31,29;16,96;12,86;11482;17,67;31,49;16,99;12,84;10727;24,06;39,1;15,38;13,02;10761;25,14;40,18;15,49;12,91;10749;24,72;39,76;15,48;12,71;-41,1;17;-0,1;15,6
14.06.2023 03:00:00;98,3;13,377;14986;4,44;6,62;14,28;12,73;13451;7,82;14,38;14,21;12,86;11549;16,65;30,05;16,91;12,76;11343;17,5;31,26;16,88;12,89;11484;17,65;31,47;16,91;12,84;10727;24,06;39,1;15,38;13,02;10761;25,14;40,18;15,48;12,91;10749;24,72;39,76;15,49;12,71;-41,2;16,9;-0,1;15,6
14.06.2023 04:00:00;98,3;13,38;14986;4,44;6,62;14,13;12,73;13453;7,82;14,37;14,09;12,86;11551;16,63;30,03;16,81;12,76;11345;17,49;31,24;16,77;12,89;11485;17,64;31,46;16,83;12,84;10727;24,06;39,1;15,38;13,02;10761;25,14;40,18;15,52;12,94;10749;24,72;39,76;15,47;12,71;-41,4;16,9;-0,1;15,6
14.06.2023 05:00:00;98,3;13,401;14988;4,44;6,61;14,07;12,76;13452;7,82;14,38;13,99;12,89;11552;16,63;30,02;16,7;12,81;11346;17,48;31,23;16,69;12,91;11487;17,63;31,44;16,74;12,86;10727;24,06;39,1;15,38;13,04;10762;25,13;40,17;15,5;12,97;10749;24,72;39,76;15,52;12,73;-41,5;16,8;-0,1;15,6
14.06.2023 06:00:00;98,3;13,429;14992;4,43;6,6;14,02;12,81;13453;7,82;14,37;13,97;12,94;11554;16,61;30;16,56;12,84;11348;17,46;31,21;16,59;12,94;11488;17,62;31,43;16,63;12,91;10729;24,02;39,06;15,42;13,07;10762;25,13;40,17;15,5;12,99;10750;24,69;39,74;15,49;12,76;-41,6;16,7;-0,1;15,6
14.06.2023 07:00:00;98,3;13,457;14994;4,43;6,59;13,97;12,86;13454;7,81;14,36;13,95;12,97;11557;16,59;29,97;16,45;12,89;11350;17,45;31,19;16,5;12,99;11490;17,6;31,4;16,52;12,94;10730;24,01;39,05;15,41;13,12;10762;25,13;40,17;15,52;13,04;10751;24,68;39,72;15,52;12,81;-41,6;16,6;-0,1;15,6
14.06.2023 08:00:00;98,3;13,516;14996;4,42;6,58;13,97;12,94;13456;7,81;14,35;13,99;13,04;11560;16,57;29,94;16,39;12,94;11352;17,43;31,17;16,38;13,07;11492;17,59;31,38;16,42;13,02;10730;24,01;39,05;15,34;13,2;10763;25,12;40,16;15,47;13,1;10751;24,68;39,72;15,47;12,89;-41,6;16,5;-0,1;15,6
14.06.2023 09:00:00;98,3;13,571;15001;4,42;6,56;14,04;13,02;13459;7,8;14,33;14,1;13,12;11565;16,53;29,88;16,27;13,02;11357;17,39;31,11;16,3;13,12;11495;17,56;31,34;16,34;13,07;10731;23,99;39,04;15,37;13,28;10763;25,12;40,16;15,46;13,17;10752;24,66;39,71;15,46;12,94;-41,8;16,4;-0,1;15,6
14.06.2023 10:00:00;98,3;13,608;15007;4,41;6,54;14,19;13,07;13465;7,78;14,3;14,27;13,15;11570;16,49;29,82;16,24;13,04;11362;17,35;31,05;16,25;13,17;11499;17,53;31,3;16,26;13,12;10732;23,98;39,03;15,37;13,3;10764;25,1;40,14;15,44;13,23;10754;24,64;39,69;15,48;12,99;-42;16,3;-0,1;15,6
14.06.2023 11:00:00;98,3;13,612;15011;4,4;6,52;14,41;13,07;13469;7,77;14,27;14,48;13,15;11574;16,46;29,78;16,2;13,04;11366;17,32;31,01;16,2;13,17;11501;17,51;31,27;16,2;13,12;10733;23,97;39,01;15,35;13,3;10765;25,09;40,13;15,44;13,23;10754;24,64;39,69;15,43;12,99;-42,1;16,3;-0,1;15,6
14.06.2023 12:00:00;98,3;13,614;15012;4,4;6,52;14,64;13,07;13473;7,76;14,25;14,7;13,15;11577;16,43;29,74;16,27;13,04;11368;17,3;30,98;16,25;13,17;11504;17,49;31,24;16,27;13,12;10733;23,97;39,01;15,31;13,3;10766;25,08;40,12;15,41;13,23;10755;24,62;39,67;15,42;12,99;-42,3;16,3;-0,1;15,6
14.06.2023 13:00:00;98,3;13,63;15029;4,37;6,45;14,84;13,07;13477;7,75;14,22;15;13,17;11579;16,42;29,72;16,34;13,07;11371;17,28;30,95;16,29;13,2;11507;17,46;31,21;16,3;13,15;10734;23,96;39;15,3;13,33;10766;25,08;40,12;15,43;13,23;10756;24,61;39,66;15,42;12,99;-42,5;16,3;-0,1;15,5
14.06.2023 14:00:00;98,3;13,625;15034;4,37;6,44;15,09;13,07;13481;7,74;14,2;15,24;13,17;11581;16,41;29,7;16,49;13,07;11373;17,26;30,93;16,44;13,17;11509;17,45;31,19;16,41;13,12;10735;23,94;38,99;15,28;13,33;10767;25,06;40,1;15,39;13,23;10756;24,61;39,66;15,37;13,02;-42,7;16,4;-0,1;15,5
14.06.2023 15:00:00;97,8;13,586;15007;4,41;6,54;15,24;13,02;13483;7,73;14,18;15,37;13,12;11581;16,41;29,7;16,68;13,02;11373;17,26;30,93;16,59;13,15;11510;17,44;31,18;16,56;13,1;10735;23,94;38,99;15,27;13,28;10768;25,05;40,09;15,38;13,17;10757;24,6;39,65;15,36;12,97;-42,8;16,6;-0,1;15,5
14.06.2023 16:00:00;97,8;13,557;15038;4,36;6,42;15,38;12,97;13485;7,72;14,17;15,45;13,07;11581;16,41;29,7;16,81;12,99;11373;17,26;30,93;16,78;13,1;11511;17,43;31,17;16,72;13,07;10736;23,93;38,97;15,26;13,25;10770;25,02;40,07;15,34;13,15;10758;24,58;39,63;15,33;12,94;-43,2;16,7;-0,1;15,5
14.06.2023 17:00:00;97,8;13,547;15039;4,36;6,42;15,37;12,97;13486;7,72;14,17;15,49;13,07;11580;16,41;29,71;17,02;12,97;11373;17,26;30,93;16,98;13,1;11511;17,43;31,17;16,9;13,04;10736;23,93;38,97;15,25;13,23;10770;25,02;40,07;15,33;13,12;10758;24,58;39,63;15,35;12,91;-43,2;16,9;-0,1;15,5
14.06.2023 18:00:00;97,8;13,522;15040;4,36;6,41;15,39;12,94;13487;7,72;14,16;15,47;13,04;11579;16,42;29,72;17,2;12,94;11373;17,26;30,93;17,13;13,07;11510;17,44;31,18;17,09;13,02;10737;23,92;38,96;15,26;13,2;10770;25,02;40,07;15,34;13,1;10758;24,58;39,63;15,32;12,89;-43,5;17,1;-0,1;15,5
14.06.2023 19:00:00;97,8;13,474;15040;4,36;6,41;15,37;12,86;13487;7,72;14,16;15,38;12,97;11577;16,43;29,74;17,32;12,89;11372;17,27;30,94;17,27;13,02;11509;17,45;31,19;17,23;12,97;10737;23,92;38,96;15,21;13,12;10770;25,02;40,07;15,35;13,04;10758;24,58;39,63;15,3;12,81;-43,5;17,2;-0,1;15,5
14.06.2023 20:00:00;97,8;13,4;15042;4,35;6,41;15,25;12,76;13488;7,72;14,16;15,29;12,89;11576;16,44;29,75;17,45;12,78;11372;17,27;30,94;17,38;12,91;11509;17,45;31,19;17,36;12,86;10738;23,91;38,95;15,22;13,04;10770;25,02;40,07;15,37;12,94;10759;24,57;39,62;15,32;12,73;-43,9;17,4;-0,1;15,5
14.06.2023 21:00:00;97,8;13,382;15042;4,35;6,41;15,13;12,73;13489;7,71;14,15;15,1;12,86;11575;16,45;29,77;17,52;12,76;11371;17,28;30,95;17,47;12,89;11509;17,45;31,19;17,42;12,84;10738;23,91;38,95;15,24;13,02;10770;25,02;40,07;15,38;12,94;10759;24,57;39,62;15,34;12,71;-44,1;17,5;-0,1;15,5
14.06.2023 22:00:00;97,8;13,373;15044;4,35;6,4;14,95;12,71;13491;7,71;14,14;14,88;12,84;11575;16,45;29,77;17,52;12,76;11372;17,27;30,94;17,51;12,89;11510;17,44;31,18;17,45;12,84;10738;23,91;38,95;15,27;13,02;10771;25,01;40,05;15,34;12,91;10759;24,57;39,62;15,36;12,71;-44,1;17,5;-0,1;15,5
14.06.2023 23:00:00;97,8;13,375;15047;4,35;6,39;14,77;12,71;13492;7,71;14,13;14,78;12,84;11576;16,44;29,75;17,49;12,76;11372;17,27;30,94;17,5;12,89;11511;17,43;31,17;17,46;12,84;10738;23,91;38,95;15,28;13,02;10770;25,02;40,07;15,37;12,91;10759;24,57;39,62;15,32;12,71;-44,1;17,5;-0,1;15,5
