date time;coulombmeter;Raw1;Permitivity1;VWC1;Temp1;Vcc1;Raw2;Permitivity2;VWC2;Temp2;Vcc2;Raw3;Permitivity3;VWC3;Temp3;Vcc3;Raw4;Permitivity4;VWC4;Temp4;Vcc4;Raw5;Permitivity5;VWC5;Temp5;Vcc5;Raw6;Permitivity6;VWC6;Temp6;Vcc6;Raw7;Permitivity7;VWC7;Temp7;Vcc7;Raw8;Permitivity8;VWC8;Temp8;Vcc8;Raw9;Permitivity9;VWC9;Temp9;Vcc9
10.03.2023 16:00:00;99,4;13,347;11336;18,1;32,08;7,21;12,84;11981;14,31;26,48;7,02;12,71;12176;12,3;23,09;7,3;12,78;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
10.03.2023 17:00:00;99,4;13,587;11340;18,07;32,04;7,05;13,02;11984;14,29;26,45;6,97;12,89;12171;12,32;23,13;7,05;12,97;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
10.03.2023 18:00:00;99,4;13,599;11343;18,04;32;6,77;12,99;11987;14,27;26,42;6,73;12,86;12171;12,32;23,13;6,69;12,91;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
10.03.2023 19:00:00;99,4;13,605;11345;18,03;31,98;6,52;12,99;11990;14,26;26,39;6,53;12,86;12172;12,32;23,12;6,45;12,91;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
10.03.2023 20:00:00;99,4;13,61;11348;17,99;31,94;6,34;12,99;11992;14,24;26,37;6,33;12,84;12172;12,32;23,12;6,27;12,91;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
10.03.2023 21:00:00;99,4;13,613;11345;18,03;31,98;6,13;12,97;11991;14,24;26,38;6,17;12,84;12172;12,32;23,12;6,02;12,89;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
10.03.2023 22:00:00;99,4;13,618;11339;18,07;32,05;5,88;12,97;11988;14,27;26,41;5,96;12,84;12170;12,33;23,15;5,78;12,89;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
10.03.2023 23:00:00;99,4;13,615;11336;18,1;32,08;5,6;12,97;11984;14,29;26,45;5,76;12,81;12167;12,34;23,17;5,41;12,86;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
11.03.2023 00:00:00;99,4;13,621;11336;18,1;32,08;5,36;12,94;11984;14,29;26,45;5,51;12,81;12164;12,36;23,2;5,13;12,86;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
11.03.2023 01:00:00;99,4;13,615;11336;18,1;32,08;5,11;12,89;11984;14,29;26,45;5,27;12,76;12163;12,36;23,21;4,82;12,81;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
11.03.2023 02:00:00;99,4;13,603;11338;18,08;32,06;4,69;12,84;11985;14,28;26,44;4,94;12,68;12162;12,37;23,22;4,32;12,76;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
11.03.2023 03:00:00;99,4;13,599;11336;18,1;32,08;4,3;12,81;11985;14,28;26,44;4,58;12,68;12159;12,38;23,24;3,86;12,76;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
11.03.2023 04:00:00;99,4;13,597;11333;18,12;32,11;3,93;12,78;11980;14,31;26,49;4,21;12,68;12153;12,41;23,29;3,54;12,73;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
11.03.2023 05:00:00;99,4;13,595;11329;18,16;32,16;3,62;12,78;11975;14,34;26,54;3,88;12,65;12142;12,47;23,39;3,19;12,73;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
11.03.2023 06:00:00;99,4;13,573;11327;18,17;32,18;3,32;12,76;11972;14,36;26,56;3,61;12,63;12133;12,51;23,47;2,98;12,71;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
11.03.2023 07:00:00;99,4;13,587;11325;18,2;32,21;3,09;12,76;11970;14,38;26,59;3,4;12,63;12127;12,55;23,53;2,77;12,71;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
11.03.2023 08:00:00;99,4;13,591;11324;18,2;32,22;2,91;12,76;11969;14,38;26,6;3,19;12,65;12124;12,56;23,56;2,64;12,73;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
11.03.2023 09:00:00;99,4;13,594;11323;18,21;32,24;2,76;12,76;11968;14,39;26,61;3,05;12,65;12121;12,58;23,58;2,53;12,73;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
11.03.2023 10:00:00;99,4;13,589;11324;18,2;32,22;2,65;12,76;11970;14,38;26,59;2,94;12,65;12119;12,59;23,6;2,45;12,73;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
11.03.2023 11:00:00;99,4;13,6;11323;18,21;32,24;2,58;12,78;11969;14,38;26,6;2,84;12,68;12117;12,6;23,62;2,45;12,73;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
11.03.2023 12:00:00;99,4;13,602;11321;18,23;32,26;2,57;12,78;11969;14,38;26,6;2,81;12,65;12117;12,6;23,62;2,48;12,73;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
11.03.2023 13:00:00;99,4;13,589;11318;18,25;32,29;2,62;12,81;11967;14,4;26,62;2,82;12,68;12113;12,62;23,65;2,63;12,76;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
11.03.2023 14:00:00;99,4;13,589;11311;18,31;32,37;2,68;12,78;11963;14,42;26,66;2,88;12,68;12106;12,66;23,72;2,7;12,73;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
11.03.2023 15:00:00;99,4;13,609;11305;18,36;32,44;2,77;12,81;11953;14,48;26,75;2,93;12,68;12095;12,71;23,82;2,75;12,76;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
11.03.2023 16:00:00;99,4;13,607;11301;18,4;32,49;2,72;12,78;11945;14,53;26,84;2,91;12,65;12085;12,77;23,91;2,61;12,73;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
11.03.2023 17:00:00;99,4;13,587;11300;18,41;32,5;2,57;12,73;11939;14,57;26,9;2,78;12,65;12079;12,8;23,96;2,41;12,73;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
11.03.2023 18:00:00;99,4;13,587;11300;18,41;32,5;2,34;12,71;11937;14,58;26,92;2,59;12,63;12076;12,81;23,99;2,12;12,73;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
